"id";"type";"classes";"grounding";"question";"gold_answer";"llm_response";"has_rule";"rules_count";"has_context";"contexts_count";"complexity";"saf";"nli";"sim";"model"
"12";"grafo";":Controller :DataSubject :ControllerObligation :RightToTransparency :RightToBasicInformationAboutProcessing :RightToAccessPersonalData :RightToRectification :RightOfErasure :RightToRestrictProcessing :RightOfDataPortability :RightToObjectToProcessing :RightToNotBeEvaluatedThroughAutomatedProcessing :NotifyDataSubjectOfBreach :Processing :PersonalData";"chapter III, article 14, point 2, chapter III, article 13, point 2, chapter IV, article 34, point 3c, chapter IV, article 34, point 2, chapter III, article 19, point text_1, chapter IV, article 34, point 1";"What measures should the controller take to provide information to the data subject under Articles 13 and 14 and any communication under Articles 15 to 22 and 34?";"The controller shall take appropriate measures to provide any information referred to in Articles 13 and 14 and any communication under Articles 15 to 22 and 34 relating to processing to the data subject in a concise, transparent, intelligible and easily accessible form, using clear and plain language, in particular for any information addressed specifically to a child. The information shall be provided in writing, or by other means, including, where appropriate, by electronic means. When requested by the data subject, the information may be provided orally, provided that the identity of the data subject is proven by other means.";"The controller must provide information to the data subject under Articles 13 and 14, and communications under Articles 15 to 22 and 34. This includes providing necessary information for fair and transparent processing, and communicating personal data breaches likely to result in a high risk without undue delay. If erasure or rectification occurs, recipients must be notified unless impossible or disproportionate. In cases of disproportionate effort for public communication of a breach, alternative equally effective measures shall be taken.";"1";"22";"1";"50";"15";"0.96";"0.54";"0.59";"gemini"
"13";"grafo";":Controller :DataSubject :PersonalData :CollectionOfPersonalData :RightToBasicInformationAboutProcessing :RightToTransparency";"chapter III, article 13, point 1, chapter III, article 13, point 2, chapter III, article 13, point 1a, chapter III, article 13, point 1b, chapter III, article 13, point 1c, chapter III, article 13, point 1d, chapter III, article 13, point 1e, chapter III, article 13, point 1f, chapter III, article 13, point 2a, chapter III, article 13, point 2b, chapter III, article 13, point 2c, chapter III, article 13, point 2d, chapter III, article 13, point 2f";"What information must the controller provide to the data subject at the time when personal data are obtained, according to Article 13?";"The controller must provide the data subject with the identity and contact details of the controller and, where applicable, of the controller's representative; the contact details of the data protection officer, where applicable; the purposes of the processing for which the personal data are intended as well as the legal basis for the processing; where the processing is based on point (f) of Article 6(1), the legitimate interests pursued by the controller or by a third party; the recipients or categories of recipients of the personal data, if any; where applicable, the fact that the controller intends to transfer personal data to a third country or international organisation and the existence or absence of an adequacy decision by the Commission, or in the case of transfers referred to in Article 46 or 47, or the second subparagraph of Article 49(1), reference to the appropriate or suitable safeguards and the means by which to obtain a copy of them or where they have been made available. In addition, the controller must provide the data subject with the period for which the personal data will be stored, or if that is not possible, the criteria used to determine that period; the existence of the right to request from the controller access to and rectification or erasure of personal data or restriction of processing concerning the data subject or to object to processing as well as the right to data portability; where the processing is based on point (a) of Article 6(1) or point (a) of Article 9(2), the existence of the right to withdraw consent at any time, without affecting the lawfulness of processing based on consent before its withdrawal; the right to lodge a complaint with a supervisory authority; whether the provision of personal data is a statutory or contractual requirement, or a requirement necessary to enter into a contract, as well as whether the data subject is obliged to provide the personal data and of the possible consequences of failure to provide such data; the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject.";"When personal data is collected directly from the data subject, Article 13 of the GDPR mandates that the controller must provide specific information at the time of collection. This includes the controller's identity and contact details, the purposes of processing and legal basis, recipients of the data, and the data subject's rights regarding access, rectification, erasure, restriction, objection, and data portability. Additionally, information on data storage periods, automated decision-making, and the right to lodge a complaint with a supervisory authority must be provided.";"1";"31";"1";"16";"6";"0.85";"0.77";"0.76";"gemini"
"14";"grafo";":Controller :DataSubject :RightToBasicInformationAboutProcessing :PersonalData :Processing";"chapter III, article 14, point 2, chapter III, article 14, point 2c, chapter III, article 14, point 2g, chapter III, article 14, point 2a, chapter III, article 14, point 2b, chapter III, article 14, point 2d, chapter III, article 14, point 2e, chapter III, article 14, point 2f";"What information must the controller provide to the data subject in addition to the information listed in paragraph 1 of Article 14?";"The controller must provide the data subject with the period for which the personal data will be stored or the criteria used to determine that period, the legitimate interests pursued by the controller or by a third party if the processing is based on point (f) of Article 6(1), the right to request access to and rectification or erasure of personal data or restriction of processing concerning the data subject and to object to processing as well as the right to data portability, the existence of the right to withdraw consent at any time if processing is based on point (a) of Article 6(1) or point (a) of Article 9(2), the right to lodge a complaint with a supervisory authority, from which source the personal data originate, and if applicable, whether it came from publicly accessible sources, the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject.";"In addition to the information in paragraph 1 of Article 14, the controller must provide the data subject with information necessary for fair and transparent processing. This includes the existence of the right to access, rectify, erase, or restrict processing, the right to object, and the right to data portability. It also includes details about automated decision-making, including profiling, and the logic involved.";"1";"22";"1";"24";"5";"0.84";"0.99";"0.64";"gemini"
"15";"grafo";":Controller :DataSubject :PersonalData :RightToAccessPersonalData :Processing :Article";"chapter III, article 15, point 1, chapter III, article 15, point 1a, chapter III, article 15, point 1b, chapter III, article 15, point 1c, chapter III, article 15, point 1d, chapter III, article 15, point 1e, chapter III, article 15, point 1f, chapter III, article 15, point 1g, chapter III, article 15, point 1h, chapter III, article 15, point 3, chapter III, article 15, point 4";"What information must the controller provide to the data subject when they request access to their personal data under Article 15?";"The controller must provide confirmation as to whether or not personal data concerning the data subject are being processed, and, where that is the case, access to the personal data and the following information: (a) the purposes of the processing; (b) the categories of personal data concerned; (c) the recipients or categories of recipient to whom the personal data have been or will be disclosed, in particular recipients in third countries or international organisations; (d) where possible, the envisaged period for which the personal data will be stored, or, if not possible, the criteria used to determine that period; (e) the existence of the right to request from the controller rectification or erasure of personal data or restriction of processing of personal data concerning the data subject or to object to such processing; (f) the right to lodge a complaint with a supervisory authority; (g) where the personal data are not collected from the data subject, any available information as to their source; (h) the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject.";"When a data subject requests access to their personal data, the controller must confirm the processing, provide access to the data, and supply additional information. This includes the purposes of processing, categories of data, recipients, storage period, the right to rectification or erasure, the right to lodge a complaint, and information about data sources if not collected directly from the subject. If data is transferred to third countries, information on safeguards must be provided. For automated decision-making, details about the logic and consequences are required. A copy of the data must be provided, in electronic form if requested electronically, unless it adversely affects others' rights.";"1";"14";"1";"12";"6";"0.94";"0.99";"0.77";"gemini"
"16";"grafo";":RightToRectification :DataSubject :PersonalData :RectifyData :Rights :Controller";"chapter III, article 16, point text_1";"What is the right granted to the data subject in Article 16 of the GDPR?";"The right to obtain from the controller without undue delay the rectification of inaccurate personal data concerning him or her. Taking into account the purposes of the processing, the data subject shall have the right to have incomplete personal data completed, including by means of providing a supplementary statement.";"Article 16 of the GDPR grants the data subject the right to obtain rectification of inaccurate personal data without undue delay. Additionally, considering the processing purposes, the data subject has the right to have incomplete personal data completed, potentially through a supplementary statement.";"1";"26";"1";"1";"6";"0.99";"0.81";"0.68";"gemini"
"17";"grafo";":DataSubject :RightOfErasure :PersonalData :EraseData";"chapter III, article 17, point 1, chapter III, article 17, point 1a, chapter III, article 17, point 1b, chapter III, article 17, point 1c, chapter III, article 17, point 1d, chapter III, article 17, point 1e, chapter III, article 17, point 1f";"What are the grounds for a data subject to request erasure of their personal data according to Article 17?";"The grounds for a data subject to request erasure of their personal data according to Article 17 are: (a) the personal data are no longer necessary in relation to the purposes for which they were collected or otherwise processed; (b) the data subject withdraws consent on which the processing is based according to point (a) of Article 6(1), or point (a) of Article 9(2), and where there is no other legal ground for the processing; (c) the data subject objects to the processing pursuant to Article 21(1) and there are no overriding legitimate grounds for the processing, or the data subject objects to the processing pursuant to Article 21(2); (d) the personal data have been unlawfully processed; (e) the personal data have to be erased for compliance with a legal obligation in Union or Member State law to which the controller is subject; (f) the personal data have been collected in relation to the offer of information society services referred to in Article 8(1).";"A data subject can request the erasure of their personal data without undue delay when one of the following grounds applies: the data are no longer necessary for the original purposes, the data subject withdraws consent and there's no other legal ground, the data subject objects to processing and there are no overriding legitimate grounds, the data have been unlawfully processed, or there is a legal obligation for erasure under Union or Member State law. The data subject shall have the right to obtain erasure by making a request to the controller.";"0";"0";"1";"12";"4";"0.99";"1.00";"0.81";"gemini"
"18";"grafo";":RightToRestrictProcessing :DataSubject :Processing :AccuracyIsContested :DataNoLongerNeededForOriginalPurpose :ProcessingIsUnlawful :PersonalData";"chapter III, article 18, point 1a, chapter III, article 18, point 1b, chapter III, article 18, point 1c, chapter III, article 18, point 1d, chapter III, article 18, point 1";"What are the circumstances under which a data subject can request restriction of processing according to Article 18?";"A data subject can request restriction of processing if (a) the accuracy of the personal data is contested, (b) the processing is unlawful and the data subject opposes erasure, (c) the controller no longer needs the data but the data subject requires it for legal claims, or (d) the data subject has objected to processing pending verification of legitimate grounds.";"A data subject can request a restriction of processing under Article 18 when the accuracy of the personal data is contested, pending verification; when the processing is unlawful and the data subject opposes erasure, requesting restriction instead; when the controller no longer needs the data but the data subject requires it for legal claims; or when the data subject has objected to processing pending verification of legitimate grounds. (chapter III, article 18, points 1a, 1b, 1c, 1d)";"1";"25";"1";"7";"7";"1.00";"1.00";"0.81";"gemini"
"19";"grafo";":Controller :ControllerObligation :RectifyData :RightToRectification :EraseData :RightOfErasure :RightToRestrictProcessing :PersonalData :Processing :PropogateRightsToThirdParties";"chapter III, article 19, point text_1";"What is the notification obligation of the controller regarding rectification or erasure of personal data or restriction of processing according to Article 19 of the GDPR?";"The controller shall communicate any rectification or erasure of personal data or restriction of processing carried out in accordance with Article 16, Article 17(1) and Article 18 to each recipient to whom the personal data have been disclosed, unless this proves impossible or involves disproportionate effort. The controller shall inform the data subject about those recipients if the data subject requests it.";"The controller has an obligation to notify each recipient to whom personal data has been disclosed about any rectification, erasure, or restriction of processing, unless it is impossible or disproportionately difficult. The controller must also inform the data subject about these recipients upon request. This obligation is stipulated in Article 19 of the GDPR.";"1";"22";"1";"1";"10";"0.83";"1.00";"0.66";"gemini"
"20";"grafo";":DataSubject :Rights :RightOfDataPortability";"chapter III, article 20, point 1, chapter III, article 20, point 2, chapter III, article 20, point 1a, chapter III, article 20, point 1b, chapter III, article 20, point 3, chapter III, article 20, point 4";"What is the right granted to the data subject in Article 20 of the GDPR?";"The data subject shall have the right to receive the personal data concerning him or her, which he or she has provided to a controller, in a structured, commonly used and machine-readable format and have the right to transmit those data to another controller without hindrance from the controller to which the personal data have been provided.";"Article 20 of the GDPR grants data subjects the right to data portability. This includes the right to receive personal data in a structured, commonly used, and machine-readable format, and to transmit it to another controller without hindrance, provided the processing is based on consent or a contract and is carried out by automated means. It also allows for direct transmission between controllers where technically feasible.";"1";"3";"1";"6";"3";"0.99";"0.55";"0.76";"gemini"
"21";"grafo";":RightToObjectToProcessing :Rights :DataSubject :Article";"chapter III, article 21, point 1, chapter III, article 21, point 2, chapter III, article 21, point 5, chapter III, article 21, point 6, chapter III, article 21, point 4";"What is the right granted to the data subject in Article 21?";"The data subject shall have the right to object, on grounds relating to his or her particular situation, at any time to processing of personal data concerning him or her which is based on point (e) or (f) of Article 6(1), including profiling based on those provisions.";"Article 21 grants the data subject the right to object to the processing of personal data concerning them. This right applies in specific situations, including when processing is based on points (e) or (f) of Article 6(1), for direct marketing purposes, or for scientific or historical research or statistical purposes, unless the processing is necessary for a public interest task. The data subject can exercise this right using automated means when using information society services. The right to object must be presented clearly and separately from other information at the latest upon the first communication with the data subject.";"1";"18";"1";"6";"4";"0.97";"0.55";"0.60";"gemini"
"22";"grafo";":DataSubject :Rights :RightToNotBeEvaluatedThroughAutomatedProcessing :Article";"chapter III, article 22, point 1, chapter III, article 22, point 2, chapter III, article 22, point 2a, chapter III, article 22, point 2b, chapter III, article 22, point 2c, chapter III, article 22, point 3, chapter III, article 22, point 4";"What is the right of the data subject under Article 22?";"The data subject shall have the right not to be subject to a decision based solely on automated processing, including profiling, which produces legal effects concerning him or her or similarly significantly affects him or her.";"Under Article 22 of the GDPR, the data subject has the right not to be subject to a decision based solely on automated processing, including profiling, which produces legal effects concerning them or similarly significantly affects them. However, this right does not apply if the decision is necessary for entering into or performing a contract, is authorised by Union or Member State law, or is based on the data subject's explicit consent. In cases where the decision is necessary for a contract or authorised by law, suitable measures must be in place to safeguard the data subject's rights and freedoms, including the right to human intervention, to express their point of view, and to contest the decision.";"1";"18";"1";"7";"4";"0.95";"0.54";"0.59";"gemini"
"23";"grafo";":Obligation :Rights :ExclusionException :LegalObligation :Article";"chapter III, article 17, point 1e, chapter III, article 17, point 3b, chapter III, article 22, point 2b, chapter III, article 14, point 5d, chapter III, article 18, point 2";"Under what circumstances can Union or Member State law restrict the scope of the obligations and rights provided for in Articles 12 to 22 and Article 34, as well as Article 5?";"Union or Member State law may restrict the scope of the obligations and rights provided for in Articles 12 to 22 and Article 34, as well as Article 5, when such a restriction respects the essence of the fundamental rights and freedoms and is a necessary and proportionate measure in a democratic society to safeguard national security, defence, public security, the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security, other important objectives of general public interest of the Union or of a Member State, in particular an important economic or financial interest of the Union or of a Member State, including monetary, budgetary and taxation a matters, public health and social security, the protection of judicial independence and judicial proceedings, the prevention, investigation, detection and prosecution of breaches of ethics for regulated professions, a monitoring, inspection or regulatory function connected, even occasionally, to the exercise of official authority in the cases referred to in points (a) to (e) and (g), the protection of the data subject or the rights and freedoms of others, or the enforcement of civil law claims.";"Union or Member State law can restrict the scope of obligations and rights provided for in Articles 12 to 22 and Article 34, as well as Article 5, under specific circumstances. These include situations where personal data must be erased for compliance with a legal obligation under such law, or where processing is authorised by Union or Member State law that also lays down suitable measures to safeguard the data subject's rights and freedoms. Additionally, professional secrecy obligations regulated by Union or Member State law can lead to restrictions.";"1";"16";"1";"50";"5";"0.93";"0.54";"0.74";"gemini"
"24";"grafo";":Controller :Processing :Compliance :ControllerObligation :ImplementTechnicalMeasuresForCompliance :DataProtectionByDesignAndByDefault :PrivacyByDesign :Accountability";"chapter IV, article 24, point 1, chapter IV, article 24, point 2, chapter IV, article 32, point 1, chapter IV, article 32, point 1d";"What measures should the controller implement to ensure and demonstrate that processing is performed in accordance with the GDPR Regulation?";"The controller shall implement appropriate technical and organisational measures, reviewed and updated where necessary, taking into account the nature, scope, context and purposes of processing as well as the risks of varying likelihood and severity for the rights and freedoms of natural persons. Where proportionate in relation to processing activities, the measures shall include the implementation of appropriate data protection policies.";"The controller shall implement appropriate technical and organisational measures to ensure and demonstrate that processing is performed in accordance with the GDPR. These measures should be reviewed and updated as necessary. This includes implementing data protection policies where proportionate to processing activities. Additionally, the controller must ensure a level of security appropriate to the risk, including a process for regularly testing, assessing, and evaluating the effectiveness of security measures.";"1";"14";"1";"50";"8";"0.98";"0.54";"0.66";"gemini"
"25";"grafo";":Controller :DataProtectionByDesignAndByDefault :PrivacyByDesign :ControllerObligation";"chapter_iv_article_25";"What are the two types of measures that the controller must implement according to Article 25?";"The controller must implement appropriate technical and organisational measures to implement data-protection principles, such as data minimisation, and to ensure that only necessary personal data are processed.";"According to Article 25, the controller shall implement two types of measures: first, appropriate technical and organisational measures at the time of design and processing to integrate data protection principles and safeguards (data protection by design). Second, by default, only personal data necessary for each specific purpose shall be processed (data protection by default).";"1";"31";"0";"0";"4";"0.80";"0.54";"0.72";"gemini"
