"id";"type";"classes";"grounding";"question";"gold_answer";"llm_response";"has_rule";"rules_count";"has_context";"contexts_count";"complexity";"saf";"nli";"sim";"model"
"11";"grafo";":Controller :ControllerObligation :Processing :PersonalData :IdentificationOfDataSubject :ExclusionException :ExemptedWithoutProofOfDataSubjectIdentity";"chapter_ii_article_11";"What are the obligations of a controller if the purposes for which they process personal data do not require identification of the data subject?";"If the purposes for which a controller processes personal data do not or do no longer require the identification of a data subject by the controller, the controller shall not be obliged to maintain, acquire or process additional information in order to identify the data subject for the sole purpose of complying with this Regulation.";"The controller **may not** maintain, acquire, or process additional identifying information when processing personal data without requiring identification of the data subject. This is explicitly permitted by **Article II, point 1** of the provided rules.";"1";"22";"1";"50";"7";"0.95";"0.10";"0.72";"ministral"
"12";"grafo";":Controller :DataSubject :ControllerObligation :RightToTransparency :RightToBasicInformationAboutProcessing :RightToAccessPersonalData :RightToRectification :RightOfErasure :RightToRestrictProcessing :RightOfDataPortability :RightToObjectToProcessing :RightToNotBeEvaluatedThroughAutomatedProcessing :NotifyDataSubjectOfBreach :Processing :PersonalData";"chapter III, article 13, point 1, chapter III, article 13, point 2, chapter III, article 14, point 1, chapter III, article 14, point 2, chapter III, article 15, point 1, chapter III, article 15, point 3, chapter III, article 16, point text_1, chapter III, article 17, point 1, chapter III, article 17, point 2, chapter III, article 18, point 1, chapter III, article 18, point 3, chapter III, article 20, point 1, chapter III, article 21, point 1, chapter III, article 21, point 4, chapter III, article 22, point 2b, chapter IV, article 34, point 1, chapter IV, article 34, point 3, chapter IV, article 34, point 3c";"What measures should the controller take to provide information to the data subject under Articles 13 and 14 and any communication under Articles 15 to 22 and 34?";"The controller shall take appropriate measures to provide any information referred to in Articles 13 and 14 and any communication under Articles 15 to 22 and 34 relating to processing to the data subject in a concise, transparent, intelligible and easily accessible form, using clear and plain language, in particular for any information addressed specifically to a child. The information shall be provided in writing, or by other means, including, where appropriate, by electronic means. When requested by the data subject, the information may be provided orally, provided that the identity of the data subject is proven by other means.";"The controller **must** provide information under **Articles 13 and 14** by disclosing all required details at collection time (Art. 13) or upon first contact (Art. 14), including rights (Art. 14.2), purposes, legal bases, and data sources. For **Articles 15–22**, the controller must:     1. **Art. 15**: Confirm processing, provide access, and disclose data (Art. 15.1–3).     2. **Art. 16**: Rectify inaccurate data (Art. 16.1).     3. **Art. 17**: Erase data promptly (Art. 17.1) and notify recipients (Art. 17.2).     4. **Art. 18**: Restrict processing (Art. 18.1) and inform data subjects (Art. 18.3).     5. **Art. 20**: Offer data portability (Art. 20.1–2).     6. **Art. 21**: Explicitly highlight objection rights (Art. 21.4) and cease processing upon valid objection (Art. 21.1).     7. **Art. 22**: Notify automated decisions (Art. 22.1–4).     8. **Art. 34**: Communicate breaches (Art. 34.1) and justify non-communication (Art. 34.3) via public measures if disproportionate effort applies (Art. 34.3c).";"1";"22";"1";"50";"15";"0.80";"0.54";"0.64";"ministral"
"13";"grafo";":Controller :DataSubject :PersonalData :CollectionOfPersonalData :RightToBasicInformationAboutProcessing :RightToTransparency";"chapter III, article 13, point 1, chapter III, article 13, point 1a, chapter III, article 13, point 1b, chapter III, article 13, point 1c, chapter III, article 13, point 1d, chapter III, article 13, point 1e, chapter III, article 13, point 2a, chapter III, article 13, point 2b, chapter III, article 13, point 2e";"What information must the controller provide to the data subject at the time when personal data are obtained, according to Article 13?";"The controller must provide the data subject with the identity and contact details of the controller and, where applicable, of the controller's representative; the contact details of the data protection officer, where applicable; the purposes of the processing for which the personal data are intended as well as the legal basis for the processing; where the processing is based on point (f) of Article 6(1), the legitimate interests pursued by the controller or by a third party; the recipients or categories of recipients of the personal data, if any; where applicable, the fact that the controller intends to transfer personal data to a third country or international organisation and the existence or absence of an adequacy decision by the Commission, or in the case of transfers referred to in Article 46 or 47, or the second subparagraph of Article 49(1), reference to the appropriate or suitable safeguards and the means by which to obtain a copy of them or where they have been made available. In addition, the controller must provide the data subject with the period for which the personal data will be stored, or if that is not possible, the criteria used to determine that period; the existence of the right to request from the controller access to and rectification or erasure of personal data or restriction of processing concerning the data subject or to object to processing as well as the right to data portability; where the processing is based on point (a) of Article 6(1) or point (a) of Article 9(2), the existence of the right to withdraw consent at any time, without affecting the lawfulness of processing based on consent before its withdrawal; the right to lodge a complaint with a supervisory authority; whether the provision of personal data is a statutory or contractual requirement, or a requirement necessary to enter into a contract, as well as whether the data subject is obliged to provide the personal data and of the possible consequences of failure to provide such data; the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject.";"The controller **must** provide the data subject, at the time personal data are obtained, with:     1) Identity and contact details of the controller (and representative if applicable) (Point 1a);     2) Purposes of processing and legal basis (Point 1c);     3) Recipients of data or categories (Point 1e);     4) Contact of DPO (if applicable) (Point 1b);     5) Period of storage or criteria for determining it (Point 2a);     6) Rights (access, rectification, erasure, restriction, objection, data portability, complaint) (Point 2b);     7) Obligations regarding data provision (statutory/contractual necessity) (Point 2e);     8) Legitimate interests (if applicable) (Point 1d).     Key snippet: *‘Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with all of the following information:’* (Chapter III, Article 13, Point 1).";"1";"31";"1";"16";"6";"0.95";"0.99";"0.86";"ministral"
"14";"grafo";":Controller :DataSubject :RightToBasicInformationAboutProcessing :PersonalData :Processing";"chapter III, article 14, point 2c, chapter III, article 14, point 2g";"What information must the controller provide to the data subject in addition to the information listed in paragraph 1 of Article 14?";"The controller must provide the data subject with the period for which the personal data will be stored or the criteria used to determine that period, the legitimate interests pursued by the controller or by a third party if the processing is based on point (f) of Article 6(1), the right to request access to and rectification or erasure of personal data or restriction of processing concerning the data subject and to object to processing as well as the right to data portability, the existence of the right to withdraw consent at any time if processing is based on point (a) of Article 6(1) or point (a) of Article 9(2), the right to lodge a complaint with a supervisory authority, from which source the personal data originate, and if applicable, whether it came from publicly accessible sources, the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject.";"The controller must provide the data subject with: (1) the right to request access, rectification, erasure, restriction, objection, and data portability (§2c); (2) the right to lodge a complaint (§2e); (3) the source of data and if publicly accessible (§2f); (4) logic for automated decisions and their consequences (§2g).";"1";"22";"1";"24";"5";"0.93";"0.99";"0.83";"ministral"
"15";"grafo";":Controller :DataSubject :PersonalData :RightToAccessPersonalData :Processing :Article";"chapter_iii_article_15, point_1, chapter_iii_article_15, point_1a, chapter_iii_article_15, point_1b, chapter_iii_article_15, point_1c, chapter_iii_article_15, point_1d, chapter_iii_article_15, point_1g, chapter_iii_article_15, point_1f, chapter_iii_article_15, point_2";"What information must the controller provide to the data subject when they request access to their personal data under Article 15?";"The controller must provide confirmation as to whether or not personal data concerning the data subject are being processed, and, where that is the case, access to the personal data and the following information: (a) the purposes of the processing; (b) the categories of personal data concerned; (c) the recipients or categories of recipient to whom the personal data have been or will be disclosed, in particular recipients in third countries or international organisations; (d) where possible, the envisaged period for which the personal data will be stored, or, if not possible, the criteria used to determine that period; (e) the existence of the right to request from the controller rectification or erasure of personal data or restriction of processing of personal data concerning the data subject or to object to such processing; (f) the right to lodge a complaint with a supervisory authority; (g) where the personal data are not collected from the data subject, any available information as to their source; (h) the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject.";"The controller **must provide confirmation of processing**, access to personal data, and the following mandatory information: categories of data (1b), purposes (1a), recipients (1c), storage period (1d), source (1g), and right to lodge a complaint (1f). Additional details include safeguards for transfers (2) and automated processing (1h).";"1";"14";"1";"12";"6";"0.68";"0.99";"0.76";"ministral"
"16";"grafo";":RightToRectification :Rights :DataSubject :RectifyData :PersonalData :Controller";"chapter_iii_article_16_point_text_1";"What is the right granted to the data subject in Article 16 of the GDPR?";"The right to obtain from the controller without undue delay the rectification of inaccurate personal data concerning him or her. Taking into account the purposes of the processing, the data subject shall have the right to have incomplete personal data completed, including by means of providing a supplementary statement.";"The data subject has the right to request the controller rectify inaccurate or incomplete personal data under Article 16(1) GDPR, ensuring accuracy and completeness. Controller must act without undue delay.";"1";"26";"1";"1";"6";"1.00";"0.54";"0.71";"ministral"
"17";"grafo";":DataSubject :RightOfErasure :EraseData :PersonalData :EraseWhenConsentWasWithdrawn :EraseWhenDataIsNoLongerNeededForOriginalPurpose :Controller :Processing";"chapter III, article 17, point 1a, chapter III, article 17, point 1b, chapter III, article 17, point 1c, chapter III, article 17, point 1d, chapter III, article 17, point 1e, chapter III, article 17, point 1f, chapter III, article 17, point 2";"What are the grounds for a data subject to request erasure of their personal data according to Article 17?";"The grounds for a data subject to request erasure of their personal data according to Article 17 are: (a) the personal data are no longer necessary in relation to the purposes for which they were collected or otherwise processed; (b) the data subject withdraws consent on which the processing is based according to point (a) of Article 6(1), or point (a) of Article 9(2), and where there is no other legal ground for the processing; (c) the data subject objects to the processing pursuant to Article 21(1) and there are no overriding legitimate grounds for the processing, or the data subject objects to the processing pursuant to Article 21(2); (d) the personal data have been unlawfully processed; (e) the personal data have to be erased for compliance with a legal obligation in Union or Member State law to which the controller is subject; (f) the personal data have been collected in relation to the offer of information society services referred to in Article 8(1).";"The grounds for erasure under Article 17(1) include: (1a) when data is no longer necessary for original purposes; (1b) withdrawal of consent without other legal basis; (1c) objection under Article 21(1)/(2); (1d) unlawful processing; (1e) legal obligation; (1f) collection for info society services. The controller must erase without undue delay when these apply.";"1";"22";"1";"13";"8";"0.89";"1.00";"0.77";"ministral"
"18";"grafo";":DataSubject :RightToRestrictProcessing :Processing :AccuracyIsContested :DataNoLongerNeededForOriginalPurpose :ProcessingIsUnlawful";"chapter III, article 18, point 1a, chapter III, article 18, point 1b, chapter III, article 18, point 1c, chapter III, article 18, point 2";"What are the circumstances under which a data subject can request restriction of processing according to Article 18?";"A data subject can request restriction of processing if (a) the accuracy of the personal data is contested, (b) the processing is unlawful and the data subject opposes erasure, (c) the controller no longer needs the data but the data subject requires it for legal claims, or (d) the data subject has objected to processing pending verification of legitimate grounds.";"A data subject **may restrict processing** when:     1) Accuracy is contested (point 1a);     2) Processing is unlawful and data subject opposes erasure (point 1b);     3) Controller no longer needs data but it’s required for legal claims (point 1c).     The restriction applies only to storage, processing with consent, legal claims, or protection of rights (point 2).";"1";"25";"1";"7";"6";"0.70";"0.97";"0.83";"ministral"
"19";"grafo";":Controller :ControllerObligation :RectifyData :RightToRectification :EraseData :RightOfErasure :RightToRestrictProcessing :PersonalData :Processing :PropogateRightsToThirdParties";"chapter_iii_article_19_point_text_1";"What is the notification obligation of the controller regarding rectification or erasure of personal data or restriction of processing according to Article 19 of the GDPR?";"The controller shall communicate any rectification or erasure of personal data or restriction of processing carried out in accordance with Article 16, Article 17(1) and Article 18 to each recipient to whom the personal data have been disclosed, unless this proves impossible or involves disproportionate effort. The controller shall inform the data subject about those recipients if the data subject requests it.";"The controller **must notify recipients** of rectification, erasure, or restriction of processing unless impossible or disproportionate effort. The controller also **shall inform the data subject** about recipients upon request. Rule applies to disclosures made under Articles 16, 17(1), or 18.";"1";"22";"1";"1";"10";"0.88";"1.00";"0.84";"ministral"
"20";"grafo";":DataSubject :Rights :RightOfDataPortability";"chapter III, article 20, point 1, chapter III, article 20, point 1a, chapter III, article 20, point 1b, chapter III, article 20, point 3";"What is the right granted to the data subject in Article 20 of the GDPR?";"The data subject shall have the right to receive the personal data concerning him or her, which he or she has provided to a controller, in a structured, commonly used and machine-readable format and have the right to transmit those data to another controller without hindrance from the controller to which the personal data have been provided.";"The data subject has the right to receive personal data in a structured, machine-readable format and transmit it directly to another controller, where processing is based on consent or contract, and automated means are used. Exceptions apply if processing is for public interest or official authority (§3).";"1";"3";"1";"6";"3";"0.95";"0.54";"0.78";"ministral"
"21";"grafo";":DataSubject :Rights :RightToObjectToProcessing :PersonalData :Processing";"chapter_iii_article_21_point_1, chapter_iii_article_21_point_2, chapter_iii_article_21_point_3, chapter_iii_article_21_point_5";"What is the right granted to the data subject in Article 21?";"The data subject shall have the right to object, on grounds relating to his or her particular situation, at any time to processing of personal data concerning him or her which is based on point (e) or (f) of Article 6(1), including profiling based on those provisions.";"The data subject has the right to object to processing based on Art6(1)(e) or (f), requiring the controller to cease processing unless compelling legitimate grounds override the data subject’s interests (Art21(1)). For direct marketing, the data subject may object, ceasing processing for such purposes (Art21(2) & (3)). Automated objection via technical specifications is allowed (Art21(5)).";"1";"28";"1";"6";"5";"0.99";"0.54";"0.48";"ministral"
"22";"grafo";":DataSubject :Rights :RightToNotBeEvaluatedThroughAutomatedProcessing";"chapter III, article 22, point 1, chapter III, article 22, point 2a, chapter III, article 22, point 2b, chapter III, article 22, point 2c";"What is the right of the data subject under Article 22?";"The data subject shall have the right not to be subject to a decision based solely on automated processing, including profiling, which produces legal effects concerning him or her or similarly significantly affects him or her.";"The data subject under **Article 22 of GDPR** has the **right to object to automated decisions** producing legal effects or significantly affecting them, unless justified by Union/Member State law or explicit consent. The right is not absolute: exceptions apply if the decision is authorized by law or based on consent (points 1 and 2a/2c).";"1";"3";"1";"7";"3";"0.60";"0.57";"0.53";"ministral"
"23";"grafo";":Obligation :Rights :ExclusionException :LegalObligation :RightToTransparency :RightToBasicInformationAboutProcessing :RightToAccessPersonalData :RightToRectification :RightOfErasure :RightToRestrictProcessing :RightOfDataPortability :RightToObjectToProcessing :RightToNotBeEvaluatedThroughAutomatedProcessing :ReportDataBreach :Principle";"chapter III, article 17, point 1e, chapter III, article 18, point 2, chapter III, article 17, point 3b";"Under what circumstances can Union or Member State law restrict the scope of the obligations and rights provided for in Articles 12 to 22 and Article 34, as well as Article 5?";"Union or Member State law may restrict the scope of the obligations and rights provided for in Articles 12 to 22 and Article 34, as well as Article 5, when such a restriction respects the essence of the fundamental rights and freedoms and is a necessary and proportionate measure in a democratic society to safeguard national security, defence, public security, the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security, other important objectives of general public interest of the Union or of a Member State, in particular an important economic or financial interest of the Union or of a Member State, including monetary, budgetary and taxation a matters, public health and social security, the protection of judicial independence and judicial proceedings, the prevention, investigation, detection and prosecution of breaches of ethics for regulated professions, a monitoring, inspection or regulatory function connected, even occasionally, to the exercise of official authority in the cases referred to in points (a) to (e) and (g), the protection of the data subject or the rights and freedoms of others, or the enforcement of civil law claims.";"Union or Member State law **may** restrict the scope of obligations/rights in Articles 12–22 and 5 under **legal obligations** (e.g., compliance with Union/Member State law, professional secrecy, or public interest tasks) as explicitly permitted in **Article 17(1e,3b)** and **Article 18(2)**. Restrictions must comply with Union law (e.g., GDPR) and safeguard rights (e.g., judicial remedies).";"1";"3";"1";"50";"15";"0.74";"0.67";"0.75";"ministral"
"24";"grafo";":Controller :Processing :Compliance :ControllerObligation :ImplementTechnicalMeasuresForCompliance :DataProtectionByDesignAndByDefault :PrivacyByDesign :Accountability";"chapter IV, article 24, point 1, chapter IV, article 25, point 2, chapter IV, article 32, point 1d, chapter IV, article 35, point 7d";"What measures should the controller implement to ensure and demonstrate that processing is performed in accordance with the GDPR Regulation?";"The controller shall implement appropriate technical and organisational measures, reviewed and updated where necessary, taking into account the nature, scope, context and purposes of processing as well as the risks of varying likelihood and severity for the rights and freedoms of natural persons. Where proportionate in relation to processing activities, the measures shall include the implementation of appropriate data protection policies.";"The controller **must implement** appropriate **technical and organisational measures** (Art 24(1)) and **data protection policies** (Art 24(2)) to ensure and demonstrate compliance with GDPR. These measures shall be **reviewed and updated** where necessary, covering risks, safeguards, and security measures (Art 35(7d), Art 32). Records of processing activities (Art 30) and regular testing/evaluation of measures (Art 32(1d)) are also required to demonstrate compliance continuously.";"1";"14";"1";"50";"8";"0.96";"0.59";"0.52";"ministral"
"25";"grafo";":Controller :DataProtectionByDesignAndByDefault :PrivacyByDesign :ControllerObligation";"chapter_iv_article_25";"What are the two types of measures that the controller must implement according to Article 25?";"The controller must implement appropriate technical and organisational measures to implement data-protection principles, such as data minimisation, and to ensure that only necessary personal data are processed.";"The controller must implement **data protection by design** (Article 25(1)) and **data protection by default** (Article 25(2)) as the two mandatory measures. Key snippet: *‘Controller shall implement appropriate technical and organisational measures at the time of design and processing to integrate data protection principles and safeguards’ (Rule_Article25_1) and ‘Controller shall implement by default that only personal data necessary for each specific purpose are processed’ (Rule_Article25_2).*";"1";"31";"0";"0";"4";"0.49";"0.94";"0.76";"ministral"
