"id";"type";"classes";"grounding";"question";"gold_answer";"llm_response";"has_rule";"rules_count";"has_context";"contexts_count";"complexity";"saf";"nli";"sim";"model"
"13";"grafo";":Controller :DataSubject :PersonalData :CollectionOfPersonalData :RightToBasicInformationAboutProcessing :RightToTransparency :Article";"chapter III, article 13, point 1, chapter III, article 13, point 2, chapter III, article 13, point 1a, chapter III, article 13, point 1b, chapter III, article 13, point 1c, chapter III, article 13, point 1e, chapter III, article 13, point 1f, chapter III, article 13, point 2a, chapter III, article 13, point 2b, chapter III, article 13, point 2c, chapter III, article 13, point 2d, chapter III, article 13, point 2e, chapter III, article 13, point 2f";"What information must the controller provide to the data subject at the time when personal data are obtained, according to Article 13?";"The controller must provide the data subject with the identity and contact details of the controller and, where applicable, of the controller's representative; the contact details of the data protection officer, where applicable; the purposes of the processing for which the personal data are intended as well as the legal basis for the processing; where the processing is based on point (f) of Article 6(1), the legitimate interests pursued by the controller or by a third party; the recipients or categories of recipients of the personal data, if any; where applicable, the fact that the controller intends to transfer personal data to a third country or international organisation and the existence or absence of an adequacy decision by the Commission, or in the case of transfers referred to in Article 46 or 47, or the second subparagraph of Article 49(1), reference to the appropriate or suitable safeguards and the means by which to obtain a copy of them or where they have been made available. In addition, the controller must provide the data subject with the period for which the personal data will be stored, or if that is not possible, the criteria used to determine that period; the existence of the right to request from the controller access to and rectification or erasure of personal data or restriction of processing concerning the data subject or to object to processing as well as the right to data portability; where the processing is based on point (a) of Article 6(1) or point (a) of Article 9(2), the existence of the right to withdraw consent at any time, without affecting the lawfulness of processing based on consent before its withdrawal; the right to lodge a complaint with a supervisory authority; whether the provision of personal data is a statutory or contractual requirement, or a requirement necessary to enter into a contract, as well as whether the data subject is obliged to provide the personal data and of the possible consequences of failure to provide such data; the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject.";"The controller must provide the data subject with: identity and contact details of the controller (and representative, if applicable); contact details of the data protection officer (if applicable); purposes and legal basis of processing; recipients of the data; existence of transfer to third countries; rights regarding access, rectification, erasure, restriction, objection, and data portability; right to withdraw consent; right to lodge a complaint; period of storage or criteria used; existence of automated decision-making; and consequences of not providing data.";"1";"18";"1";"16";"7";"0.79";"0.97";"0.82";"maritaca"
"14";"grafo";":Controller :DataSubject :RightToBasicInformationAboutProcessing :RightToTransparency :ControllerObligation :PersonalData :Processing";"chapter III, article 14, point 2, chapter III, article 14, point 2a, chapter III, article 14, point 2c, chapter III, article 14, point 2e, chapter III, article 14, point 2f, chapter III, article 14, point 2g, chapter III, article 14, point 2b";"What information must the controller provide to the data subject in addition to the information listed in paragraph 1 of Article 14?";"The controller must provide the data subject with the period for which the personal data will be stored or the criteria used to determine that period, the legitimate interests pursued by the controller or by a third party if the processing is based on point (f) of Article 6(1), the right to request access to and rectification or erasure of personal data or restriction of processing concerning the data subject and to object to processing as well as the right to data portability, the existence of the right to withdraw consent at any time if processing is based on point (a) of Article 6(1) or point (a) of Article 9(2), the right to lodge a complaint with a supervisory authority, from which source the personal data originate, and if applicable, whether it came from publicly accessible sources, the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject.";"In addition to the information in Article 14 paragraph 1, the controller must provide: the period for which personal data will be stored (or criteria for determining it); the existence of rights to access, rectify, erase, restrict processing, object, and data portability; the right to lodge a complaint; the source of the data if not from the data subject; the existence of automated decision-making with meaningful information about its logic and consequences; and, where applicable, the legal basis for processing and legitimate interests pursued.";"1";"22";"1";"25";"7";"0.95";"0.99";"0.75";"maritaca"
"15";"grafo";":Controller :DataSubject :PersonalData :RightToAccessPersonalData :Processing :InfoAboutProcessing :InfoAboutCatgegoriesOfDataBeingProcessed :InfoAboutCategoriesOfRecipientsDataSharedWith :InfoAboutStoragePeriod :InfoAboutSourceOfData :InfoAboutExistenceOfRights :IfAndWhereControllerIsProcessingData :InfoAboutAutomatedProcessingWithSignificantEffectsOnDataSubject";"chapter III, article 15, point 1, chapter III, article 15, point 2, chapter III, article 15, point 3";"What information must the controller provide to the data subject when they request access to their personal data under Article 15?";"The controller must provide confirmation as to whether or not personal data concerning the data subject are being processed, and, where that is the case, access to the personal data and the following information: (a) the purposes of the processing; (b) the categories of personal data concerned; (c) the recipients or categories of recipient to whom the personal data have been or will be disclosed, in particular recipients in third countries or international organisations; (d) where possible, the envisaged period for which the personal data will be stored, or, if not possible, the criteria used to determine that period; (e) the existence of the right to request from the controller rectification or erasure of personal data or restriction of processing of personal data concerning the data subject or to object to such processing; (f) the right to lodge a complaint with a supervisory authority; (g) where the personal data are not collected from the data subject, any available information as to their source; (h) the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject.";"When a data subject requests access to their personal data under Article 15, the controller must provide confirmation of processing, a copy of the personal data, and specified information such as the purpose of processing, categories of data, recipients, storage period, source (if not collected from the data subject), existence of automated decision-making, and the rights to rectification, erasure, restriction, or objection. If data is transferred to a third country, the controller must also inform about safeguards. (Article 15, points 1, 2, and 3)";"1";"22";"1";"9";"13";"0.86";"0.89";"0.70";"maritaca"
"16";"grafo";":RightToRectification :Rights :DataSubject :RectifyData :PersonalData :Controller";"chapter III, article 16, point text_1";"What is the right granted to the data subject in Article 16 of the GDPR?";"The right to obtain from the controller without undue delay the rectification of inaccurate personal data concerning him or her. Taking into account the purposes of the processing, the data subject shall have the right to have incomplete personal data completed, including by means of providing a supplementary statement.";"Under Article 16 of the GDPR, the data subject has the right to obtain from the controller, without undue delay, the rectification of inaccurate personal data concerning them. They also have the right to have incomplete personal data completed, including by providing a supplementary statement, taking into account the purposes of processing.";"1";"26";"1";"1";"6";"1.00";"0.75";"0.77";"maritaca"
"17";"grafo";":DataSubject :RightOfErasure :EraseData :PersonalData :EraseWhenConsentWasWithdrawn :EraseWhenDataIsNoLongerNeededForOriginalPurpose :Controller :Processing";"chapter III, article 17, point 1, chapter III, article 17, point 1a, chapter III, article 17, point 1b, chapter III, article 17, point 1c, chapter III, article 17, point 1d, chapter III, article 17, point 1e, chapter III, article 17, point 1f";"What are the grounds for a data subject to request erasure of their personal data according to Article 17?";"The grounds for a data subject to request erasure of their personal data according to Article 17 are: (a) the personal data are no longer necessary in relation to the purposes for which they were collected or otherwise processed; (b) the data subject withdraws consent on which the processing is based according to point (a) of Article 6(1), or point (a) of Article 9(2), and where there is no other legal ground for the processing; (c) the data subject objects to the processing pursuant to Article 21(1) and there are no overriding legitimate grounds for the processing, or the data subject objects to the processing pursuant to Article 21(2); (d) the personal data have been unlawfully processed; (e) the personal data have to be erased for compliance with a legal obligation in Union or Member State law to which the controller is subject; (f) the personal data have been collected in relation to the offer of information society services referred to in Article 8(1).";"A data subject may request erasure of personal data when: (a) data are no longer necessary for the purpose; (b) consent is withdrawn and no other legal ground exists; (c) the data subject objects to processing and no overriding legitimate grounds exist; (d) processing was unlawful; (e) erasure is required by law; or (f) data were collected in relation to information society services (Article 17(1)). The controller must act without undue delay.";"1";"22";"1";"13";"8";"0.95";"0.56";"0.77";"maritaca"
"18";"grafo";":DataSubject :RightToRestrictProcessing :Processing :AccuracyIsContested :DataNoLongerNeededForOriginalPurpose :ProcessingIsUnlawful";"chapter III, article 18, point 1a, chapter III, article 18, point 1b, chapter III, article 18, point 1c, chapter III, article 18, point 1d";"What are the circumstances under which a data subject can request restriction of processing according to Article 18?";"A data subject can request restriction of processing if (a) the accuracy of the personal data is contested, (b) the processing is unlawful and the data subject opposes erasure, (c) the controller no longer needs the data but the data subject requires it for legal claims, or (d) the data subject has objected to processing pending verification of legitimate grounds.";"A data subject may request restriction of processing under Article 18 when: (a) the accuracy of the data is contested, enabling the controller to verify accuracy; (b) processing is unlawful and the data subject opposes erasure but requests restriction instead; (c) the controller no longer needs the data for processing, but the data subject requires it for legal claims; or (d) the data subject has objected to processing pending verification of the controller's legitimate grounds.";"1";"25";"1";"7";"6";"0.98";"0.57";"0.83";"maritaca"
"19";"grafo";":Controller :ControllerObligation :RectifyData :RightToRectification :EraseData :RightOfErasure :RightToRestrictProcessing :PersonalData :Processing :PropogateRightsToThirdParties";"chapter_iii_article_19, chapter III, article 19, point text_1";"What is the notification obligation of the controller regarding rectification or erasure of personal data or restriction of processing according to Article 19 of the GDPR?";"The controller shall communicate any rectification or erasure of personal data or restriction of processing carried out in accordance with Article 16, Article 17(1) and Article 18 to each recipient to whom the personal data have been disclosed, unless this proves impossible or involves disproportionate effort. The controller shall inform the data subject about those recipients if the data subject requests it.";"The controller must notify each recipient to whom the personal data have been disclosed of any rectification, erasure, or restriction of processing, unless this is impossible or involves disproportionate effort. The data subject may request information about those recipients. This obligation is grounded in Article 19 of the GDPR.";"1";"22";"1";"1";"10";"0.83";"0.99";"0.62";"maritaca"
"20";"grafo";":DataSubject :Rights :RightOfDataPortability";"chapter III, article 20, point 1, chapter III, article 20, point 2, chapter III, article 20, point 1a, chapter III, article 20, point 1b";"What is the right granted to the data subject in Article 20 of the GDPR?";"The data subject shall have the right to receive the personal data concerning him or her, which he or she has provided to a controller, in a structured, commonly used and machine-readable format and have the right to transmit those data to another controller without hindrance from the controller to which the personal data have been provided.";"Article 20 of the GDPR grants the data subject the right to data portability: the right to receive personal data they have provided to a controller in a structured, commonly used, and machine-readable format, and to have those data transmitted directly from one controller to another, where technically feasible, if the processing is based on consent or a contract and is carried out by automated means.";"1";"3";"1";"6";"3";"0.98";"0.55";"0.72";"maritaca"
"21";"grafo";":RightToObjectToProcessing :Rights :DataSubject :Article";"chapter III, article 21, point 1, chapter III, article 21, point 2, chapter III, article 21, point 3, chapter III, article 21, point 4, chapter III, article 21, point 5";"What is the right granted to the data subject in Article 21?";"The data subject shall have the right to object, on grounds relating to his or her particular situation, at any time to processing of personal data concerning him or her which is based on point (e) or (f) of Article 6(1), including profiling based on those provisions.";"The data subject has the right to object to processing of personal data based on Article 6(1)(e) or (f), including profiling, and to object at any time to processing for direct marketing purposes. The controller must cease processing unless it demonstrates compelling legitimate grounds that override the data subject's interests, rights, and freedoms, or for legal claims. In direct marketing, objection means the data shall no longer be processed for such purposes.";"1";"18";"1";"6";"4";"1.00";"0.56";"0.59";"maritaca"
"22";"grafo";":DataSubject :Rights :RightToNotBeEvaluatedThroughAutomatedProcessing";"chapter III, article 22, point 1, chapter III, article 22, point 3";"What is the right of the data subject under Article 22?";"The data subject shall have the right not to be subject to a decision based solely on automated processing, including profiling, which produces legal effects concerning him or her or similarly significantly affects him or her.";"Under Article 22 of the GDPR, the data subject has the right not to be subject to a decision based solely on automated processing, including profiling, that produces legal effects or similarly significantly affects them. Exceptions exist if the decision is necessary for contract entry/performance, authorized by law with safeguards, or based on explicit consent. In such cases, the controller must implement measures safeguarding the data subject's rights, including the right to human intervention, to express their view, and to contest the decision.";"1";"3";"1";"7";"3";"0.96";"0.54";"0.56";"maritaca"
"23";"grafo";":Obligation :Rights :ExclusionException :LegalObligation :RightToTransparency :RightToBasicInformationAboutProcessing :RightToAccessPersonalData :RightToRectification :RightOfErasure :RightToRestrictProcessing :RightOfDataPortability :RightToObjectToProcessing :RightToNotBeEvaluatedThroughAutomatedProcessing :ReportDataBreach :Principle";"chapter_iii_article_23, chapter III, article 17, point 3b";"Under what circumstances can Union or Member State law restrict the scope of the obligations and rights provided for in Articles 12 to 22 and Article 34, as well as Article 5?";"Union or Member State law may restrict the scope of the obligations and rights provided for in Articles 12 to 22 and Article 34, as well as Article 5, when such a restriction respects the essence of the fundamental rights and freedoms and is a necessary and proportionate measure in a democratic society to safeguard national security, defence, public security, the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security, other important objectives of general public interest of the Union or of a Member State, in particular an important economic or financial interest of the Union or of a Member State, including monetary, budgetary and taxation a matters, public health and social security, the protection of judicial independence and judicial proceedings, the prevention, investigation, detection and prosecution of breaches of ethics for regulated professions, a monitoring, inspection or regulatory function connected, even occasionally, to the exercise of official authority in the cases referred to in points (a) to (e) and (g), the protection of the data subject or the rights and freedoms of others, or the enforcement of civil law claims.";"Union or Member State law may restrict the scope of obligations and rights in Articles 12 to 22, Article 34, and Article 5 where such restriction constitutes a necessary and proportionate measure in a democratic society, for example to safeguard national security, defence, public security, or the protection of the rights and freedoms of others, provided it is laid down by law and respects the essence of those rights and freedoms.";"1";"3";"1";"50";"15";"0.64";"1.00";"0.84";"maritaca"
"24";"grafo";":Controller :Processing :Compliance :ControllerObligation :ImplementTechnicalMeasuresForCompliance :DataProtectionByDesignAndByDefault :PrivacyByDesign :Accountability";"chapter IV, article 24, point 1";"What measures should the controller implement to ensure and demonstrate that processing is performed in accordance with the GDPR Regulation?";"The controller shall implement appropriate technical and organisational measures, reviewed and updated where necessary, taking into account the nature, scope, context and purposes of processing as well as the risks of varying likelihood and severity for the rights and freedoms of natural persons. Where proportionate in relation to processing activities, the measures shall include the implementation of appropriate data protection policies.";"The controller shall implement appropriate technical and organisational measures, considering the nature, scope, context and purposes of processing, as well as the risks to rights and freedoms, and must be able to demonstrate compliance. These measures shall be reviewed and updated where necessary (Article 24, point 1).";"1";"14";"1";"50";"8";"0.99";"0.54";"0.76";"maritaca"
"25";"grafo";":Controller :DataProtectionByDesignAndByDefault :PrivacyByDesign :ImplementTechnicalMeasuresForCompliance :ControllerObligation :Obligation :Compliance";"chapter IV, article 25, point 1, chapter IV, article 25, point 2";"What are the two types of measures that the controller must implement according to Article 25?";"The controller must implement appropriate technical and organisational measures to implement data-protection principles, such as data minimisation, and to ensure that only necessary personal data are processed.";"According to Article 25, the controller must implement appropriate technical and organisational measures. These measures are designed to ensure data protection by design and by default, integrating safeguards into processing to meet GDPR requirements and protect data subjects' rights.";"1";"16";"1";"3";"7";"0.98";"0.54";"0.57";"maritaca"
"26";"grafo";":JointController :ControllerObligation :LiabilityOfJointController :Controller";"chapter IV, article 26, point 1, chapter IV, article 26, point 2, chapter IV, article 26, point 3";"What are the responsibilities of joint controllers under Article 26 of the GDPR Regulation?";"Joint controllers must determine their respective responsibilities for compliance with the obligations under this Regulation, in particular as regards the exercising of the rights of the data subject and their respective duties to provide the information referred to in Articles 13 and 14, by means of an arrangement between them unless, and in so far as, the respective responsibilities of the controllers are determined by Union or Member State law to which the controllers are subject. The arrangement may designate a contact point for data subjects. The arrangement shall duly reflect the respective roles and relationships of the joint controllers vis-à-vis the data subjects. The essence of the arrangement shall be made available to the data subject. Irrespective of the terms of the arrangement referred to in paragraph 1, the data subject may exercise his or her rights under this Regulation in respect of and against each of the controllers.";"Joint controllers must transparently determine their respective responsibilities for GDPR compliance, especially regarding data subject rights and information duties (Articles 13–14), via an arrangement reflecting their roles. The essence of this arrangement must be available to data subjects. Each controller remains individually liable for data subject rights, regardless of the arrangement. (Article 26, points 1–3)";"1";"31";"1";"3";"4";"0.90";"0.01";"0.68";"maritaca"
"27";"grafo";":Controller :Processor :ControllerRepresentative :ProcessorRepresentative :ExclusionException";"chapter IV, article 27, point 1";"When is a controller or processor not established in the Union exempt from designating a representative in the Union under Article 27?";"The obligation laid down in paragraph 1 of this Article shall not apply to: (a) processing which is occasional, does not include, on a large scale, processing of special categories of data as referred to in Article 9(1) or processing of personal data relating to criminal convictions and offences referred to in Article 10, and is unlikely to result in a risk to the rights and freedoms of natural persons, taking into account the nature, context, scope and purposes of the processing; or (b) a public authority or body.";"A controller or processor not established in the Union is exempt from designating a representative in the Union if Article 3(2) does not apply to their processing activities. Article 27(1) imposes the obligation only where Article 3(2) applies, meaning if the processing does not relate to offering goods or services to data subjects in the Union or monitoring their behaviour, no representative is required.";"1";"17";"1";"4";"5";"0.89";"0.52";"0.52";"maritaca"
