Question;Answer;Complexity
Can the supermarket film me while I'm shopping?;Yes, justified by the "legitimate interest" (Art. 6(1)(f)) of security and theft prevention. However, visible notices are mandatory, retention is limited, and it cannot be used to track consumer behavior without consent.;5
Can I photograph people on the street and post it on social media?;If posted to an undefined public audience (open profile), GDPR applies. You would generally need explicit consent or a legitimate/journalistic interest basis, with the subject's right to image strongly prevailing.;9
Can any resident access the security camera at my building's entrance?;No. Broad access violates the principles of integrity and confidentiality. Access to footage (containing neighbors' data) must be restricted to authorized personnel or authorities.;4
Can a business use facial recognition to identify "suspicious" customers?;Illegal in almost all cases. Automated profiling using biometrics (Art. 9) without consent requires exceptional public security laws, which standard retail stores do not possess.;8
Can my employer monitor my work cell phone, including WhatsApp?;An employer can monitor technical traffic for IT security (with prior notice), but reading the content of private messages, even on a company device, is considered an excessive privacy violation in the EU.;9
Can a school install a camera in the classroom?;Generally no. Continuous surveillance of students and teachers in a core learning environment is deemed disproportionate and oppressive under GDPR, barring real and urgent public security threats.;7
Can I request to see security camera footage from a business where an incident involving me occurred?;Yes, under the Right of Access (Art. 15). However, the business must blur the faces of other individuals in the video to protect their privacy before providing you with a copy.;8
Can a health insurance company deny coverage based on my medical history?;GDPR strictly regulates health data collection and automated decision-making/profiling (Art. 22). In the EU, national and insurance laws strictly prohibit abusive denials based purely on medical profiling.;7
Can a doctor share my medical records with another doctor without my authorization?;Generally no, due to strict medical confidentiality (Art. 9). Sharing is only permitted within the direct care team treating the patient, or to protect the patient's vital interests (e.g., unconscious emergencies).;6
Can a pharmacy sell my medication purchase history to laboratories?;Absolutely not. This is sensitive health data. Monetizing and sharing it with third parties without the patient's explicit, prior consent results in massive fines.;3
Can my company require an HIV test as a condition of employment?;No. Health data is highly protected. Requiring an HIV test lacks justification under the necessity principle and heavily violates anti-discrimination laws in hiring.;4
Can a phone company sell my registration photo?;No. The photo was collected for contract identification. Selling it violates the purpose limitation principle (Art. 5(1)(b)) and requires a new, explicit, and unambiguous consent.;3
Can a bank share my credit score with other banks without my authorization?;Depends on the country. It is usually permitted via "legal obligation" or "legitimate interest" for regulated systems preventing over-indebtedness. However, transparency (prior notice) to the client is mandatory.;8
Can I demand that an e-commerce site delete all my data after a purchase?;Not all of it. User accounts, preferences, and cookies must be deleted. However, purchase and invoice data will be retained for the period required by local tax/consumer laws (Legal Obligation).;7
Can a delivery app sell my home address to advertisers?;No. The address was collected strictly for the execution of a contract (delivering food). Using it for data brokers or third-party ads requires a separate, unforced opt-in consent.;3
Can a supermarket loyalty card track all my consumption habits?;Yes, provided this is fully transparent upon signup and you consent to the creation of a consumer profile. The data subject can revoke this consent and object to profiling at any time (Art. 21).;6
Can I be charged extra for services if I don't agree to the sharing of my data?;EU authorities (EDPB) are evaluating the "Pay or Consent" model. A paid, ad-free/tracking-free version may be offered, provided the price is not prohibitive and the user has a genuine choice.;10
Can I be fired for posting on my personal Instagram profile outside of work hours?;While firing is a labor law issue, GDPR prohibits companies from conducting systemic monitoring and screening (stalking) of employees' private profiles, violating the data minimization principle.;7
Can someone photograph me on the street and sell the photo to a stock photo agency?;No. Selling an image where you are identifiable for commercial purposes requires a legal basis—specifically, the data subject's consent (commonly known as a "model release").;5
Can a website use cookies to track my browsing without notifying me?;No. Under GDPR and the ePrivacy Directive, non-essential cookies (tracking, marketing, analytics) require explicit notice and prior consent. The "Reject" button must be as easy to access as "Accept".;4
Can I ask Google to remove search results with my name?;Yes. This is the classic application of the Right to be Forgotten (Art. 17). Google will balance whether the data is outdated/irrelevant against the public's right to information.;8
Can a school create a WhatsApp group with photos and data of students without asking for parental authorization?;No. Processing and sharing minors' data requires explicit consent from parents or guardians (Art. 8). Using WhatsApp for institutional school purposes also frequently attracts fines in the EU.;5
Can a public hospital share my medical records with researchers without my authorization?;Yes, if the scientific research exception (Art. 89) applies. However, an absolute requirement is that the data undergoes strong anonymization or pseudonymization so researchers cannot identify the subject.;9
Can a public school require a student's photo for enrollment?;Yes, as it is based on public interest and security (identifying who is in the building). However, this photo cannot be used on the internet/school magazines without parental consent.;5
Can a company request a criminal record certificate during the job selection process?;Generally, no. Processing criminal data (Art. 10) is extremely restricted to authorities or sectors expressly authorized by member state laws (e.g., working in childcare, financial sector).;8
Can I refuse a toxicology test to be hired as a professional driver?;GDPR allows this processing if local labor/transport laws require it ("Legal Obligation"). You can physically refuse, but the refusal will be a lawful basis for the company to not hire you.;6
Can a company monitor my corporate email?;Accessing emails requires very high thresholds of transparency and necessity. Employers can monitor traffic data, but reading private/personal emails in the inbox requires extreme justification (e.g., flagrant fraud).;8
Can I be forced to install a monitoring app on my personal cell phone to work from home?;No. Invading personal devices with corporate software ("BYOD") is disproportionate. To monitor and ensure security in remote work, the company must provide its own corporate equipment.;7
Can a company require me to disclose if I have children or am married during the selection process?;No. Direct violation of data minimization (Art. 5). Marital status and number of children are not necessary to evaluate a candidate's suitability and conflict with anti-discrimination principles.;4
Can a company install GPS in the car I use for work (even if it's my own car)?;Highly restricted situation. It is only lawful with total transparency, a very clear purpose (reimbursement/cargo security), and the GPS system must absolutely have an "Off Button" for off-duty hours.;9
Can I ask the company for a copy of all the data it has about me?;Yes. This is the "Right of Access" (Article 15). The company must provide a copy and a comprehensive report of the processing, free of charge, within a maximum of 1 month.;2
Can an online gaming app collect data from my 10-year-old daughter without my authorization?;No. GDPR prohibits offering information society services to children and requires valid, verifiable parental consent for minors (under 13 to 16 years, depending on the EU member state).;3
Can the school create a student profile on a third-party platform (e.g., Google Classroom) without parental authorization?;Yes, if based on a "public interest" task (teaching). However, the school (Controller) has the duty to sign an agreement ensuring Google will not use the minors' profiles for its own advertising.;8
Can I let my 15-year-old son create a social media account alone?;Depends on the EU Member State. GDPR sets the age limit for autonomous digital consent between 13 and 16 years. If the country adopts 16, parental consent is needed; if 13, he can create it alone.;6
Can I sue an app that collected my son's data without my authorization?;Yes. You have the right to lodge a complaint with the Supervisory Authority (Art. 77) to trigger administrative sanctions, and to go to court to seek pecuniary compensation for material or non-material damage (Art. 82).;4
Can the company ask about my religion during employee registration?;No, with rare exceptions. Religion is protected under Art. 9. It can only be collected by "tendency organizations" (e.g., working as a theologian in a parish) or for legal church tax requirements (e.g., Germany).;7
Can the insurance company deny life insurance based on my genetic profile?;No. Processing genetic data is prohibited by GDPR (Art. 9) except for public health. Using it to profile and deny insurance policies is widely vetted by EU anti-discrimination directives.;6
Can I ask the hospital to delete my medical records?;No. The right to erasure yields to health regulations. Hospitals process medical records under a "legal obligation" to maintain them for decades for the public interest in public health (Art. 9).;7
Can the mobile app send my data to servers in the US without my authorization?;The law focuses on the legal mechanism, not user consent. The app can transfer data, but must be transparent in its terms and rely on a valid framework (e.g., Data Privacy Framework - DPF) or Standard Contractual Clauses (SCCs).;9
Can the company use my Google search history to offer me products?;Only if the company operates through tools where you have given your prior consent for your data to be combined and cross-referenced across platforms for targeted advertising.;6
Does the company have a deadline to respond to my request for access to my data?;Yes. Under Art. 12(3) GDPR, responses to data subject rights must occur "without undue delay" and within a strict 1-month limit (extendable by 2 months only for complex requests).;2
If I revoke my consent, can the company charge me to continue using the service?;Downgrading a service because you withdrew consent violates the premise that "withdrawing consent must be as easy as giving it" (Art. 7(3)) and indicates the original consent was forced/abusive.;8
Can I sue for moral damages if my data is leaked from a company?;Yes. Unlike other laws, Art. 82 GDPR explicitly states that any person who has suffered material or non-material damage (moral damages) has the right to receive compensation from the negligent controller/processor.;4
Does GDPR apply to private WhatsApp groups between friends?;No. The regulation does not reach the "Household Exemption" (Recital 18 and Art. 2). Processing carried out by individuals for purely personal or household activities is exempt.;4
Can I be eliminated from a selection process because of data obtained from my social media?;If the candidate provided a link to a professional profile (LinkedIn), it is valid. "Snooping" on purely private networks (like family Instagram profiles) severely violates GDPR privacy and minimization principles.;8
Can a hospital deny access to my medical records claiming they are hospital property?;No. In GDPR, the concept of "who owns the physical paper/server" is irrelevant. The patient controls their *personal data*, holding a broad and unrestricted Right of Access (Art. 15) to all content.;4
Can my cell phone location data be used as evidence in court?;Yes. GDPR is not an obstacle to justice. Data can be used provided it is supported by a legal basis for the "establishment, exercise or defense of legal claims" and respects national procedural laws.;6
How do I report a company that leaked my data?;GDPR empowers the data subject by allowing them to lodge a complaint directly with the Data Protection Authority (Supervisory Authority) of their member state (Art. 77) without needing lawyers.;2
Can a company claim it was hacked to avoid responsibility for the leak?;No. On the contrary, being hacked is often *evidence of the infringement*. It demonstrates that the company breached Article 32 (Security of Processing) by failing to protect the network with technical and organizational measures.;6
If I die, can my heirs request access to my personal data?;Not under GDPR. Recital 27 states that the European regulation does not apply to the personal data of deceased persons, allowing each Member State to provide for its own rules on the matter.;6
My company uses biometrics for time and attendance control. Can I demand an alternative method?;Yes. Due to the hierarchical submission, employee consent is presumed invalid. The company is legally obligated to provide a non-biometric alternative for the time clock.;8
