"type";"question";"response";"complexity";"saf";"nli";"sim";"relevancy";"faithfulness";"model
"grafo";"Meu vizinho instalou câmera que filma minha janela e varanda. O que a LGPD diz?";"{'resposta': 'A LGPD protege a privacidade e a inviolabilidade da intimidade, sendo vedada a captação de imagens de áreas privadas sem consentimento. O tratamento de dados pessoais, como imagens, só é permitido em hipóteses legais, respeitando direitos fundamentais do titular.', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) estabelece como fundamentos o respeito à privacidade e à inviolabilidade da intimidade, da honra e da imagem (art. 2º). O tratamento de dados pessoais, como imagens captadas por câmeras, só pode ocorrer nas hipóteses previstas no art. 7º, como consentimento do titular ou legítimo interesse, desde que não prevaleçam direitos e liberdades fundamentais do titular. A gravação de imagens de áreas privadas de terceiros, como janela e varanda, sem consentimento, pode configurar violação à privacidade e à proteção de dados, contrariando os princípios da LGPD. O titular dos dados tem direito à liberdade, intimidade e privacidade, e pode exigir a interrupção do tratamento indevido.', 'chunks': ['941201b9', 'a57ec09b'], 'trecho_chave': 'Art. 2º A disciplina da proteção de dados pessoais tem como fundamentos: I - o respeito à privacidade; II - a autodeterminação informativa; III - a liberdade de expressão, de informação, de comunicação e de opinião; IV - a inviolabilidade da intimidade, da honra e da imagem', 'percentual': ['60', '40']}";"0.91";"0.98";"0.55";"0.72";"1.00";"1.00";"gpt"
"grafo";"O supermercado pode me filmar enquanto faço compras?";"{'resposta': 'A captação de imagens de clientes em supermercados é permitida para garantir segurança patrimonial e prevenção de ilícitos, desde que respeitados os princípios da LGPD, como finalidade, necessidade e transparência. O supermercado deve informar claramente sobre o videomonitoramento e adotar medidas de segurança para proteger os dados captados, conforme art. 6º e art. 46 da LGPD.', 'resposta_completa': 'A filmagem de clientes em supermercados é admitida, desde que o tratamento dos dados pessoais (imagens) observe os princípios da LGPD, especialmente os previstos no art. 6º: finalidade (segurança e prevenção de ilícitos), necessidade (limitação ao mínimo necessário), transparência (informação clara ao titular sobre a captação) e segurança (adoção de medidas técnicas e administrativas para proteger os dados). O supermercado deve informar de forma acessível sobre a existência do videomonitoramento e garantir que as imagens não sejam utilizadas para fins incompatíveis com a finalidade informada. O art. 46 reforça a obrigação de proteger os dados contra acessos não autorizados ou tratamento inadequado. O descumprimento pode gerar sanções administrativas e obrigação de reparação de danos.', 'chunks': ['9c7da499', '44589f1c'], 'trecho_chave': 'Art. 6º As atividades de tratamento de dados pessoais deverão observar a boa-fé e os seguintes princípios: I - finalidade: realização do tratamento para propósitos legítimos, específicos, explícitos e informados ao titular [...] VII - segurança: utilização de medidas técnicas e administrativas aptas a proteger os dados pessoais de acessos não autorizados [...]', 'percentual': ['80', '20']}";"0.65";"0.88";"0.54";"0.63";"1.00";"1.00";"gpt"
"grafo";"Posso fotografar pessoas na rua e postar nas redes sociais?";"{'resposta': 'Fotografar pessoas em via pública e publicar imagens em redes sociais envolve tratamento de dados pessoais, conforme a LGPD. O consentimento do titular é necessário, pois a imagem é dado pessoal. O respeito à privacidade e à autodeterminação informativa é fundamental.', 'resposta_completa': 'A captação e divulgação de imagens de pessoas em via pública, mesmo em espaços abertos, caracteriza tratamento de dados pessoais, conforme o art. 5º da LGPD, pois a imagem permite identificar o titular. A publicação em redes sociais, por não ser para fins exclusivamente particulares, exige o consentimento do titular da imagem, salvo exceções legais. O art. 2º da LGPD reforça a necessidade de respeito à privacidade, autodeterminação informativa e inviolabilidade da imagem. Portanto, a publicação sem autorização pode violar direitos fundamentais e gerar responsabilidade civil.', 'chunks': ['e9106279', '941201b9'], 'trecho_chave': 'I - dado pessoal: informação relacionada a pessoa natural identificada ou identificável; ... IV - a inviolabilidade da intimidade, da honra e da imagem;', 'percentual': ['60', '40']}";"0.81";"0.87";"0.54";"0.54";"1.00";"1.00";"gpt"
"grafo";"A câmera do meu condomínio que fica na entrada pode ser acessada por qualquer morador?";"{'resposta': 'O acesso às imagens da câmera de entrada do condomínio não pode ser liberado a qualquer morador, pois deve-se garantir a privacidade e segurança dos dados pessoais. O acesso deve ser restrito e autorizado pelo responsável, conforme o dever de proteção previsto no art. 46 da LGPD.', 'resposta_completa': 'A legislação de proteção de dados pessoais (LGPD) exige que agentes de tratamento adotem medidas de segurança para proteger dados pessoais contra acessos não autorizados (art. 46). Imagens de câmeras de vigilância são consideradas dados pessoais, pois podem identificar pessoas. Assim, o acesso a essas imagens deve ser restrito ao síndico ou administradora, que são responsáveis pelo tratamento dos dados. Moradores só podem acessar as imagens mediante solicitação formal e justificativa, respeitando a privacidade dos demais. O acesso irrestrito por qualquer morador violaria o princípio do respeito à privacidade e poderia configurar tratamento inadequado dos dados, sujeito a sanções legais.', 'chunks': ['44589f1c', '941201b9'], 'trecho_chave': 'Art. 46 Os agentes de tratamento devem adotar medidas de segurança, técnicas e administrativas aptas a proteger os dados pessoais de acessos não autorizados e de situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou qualquer forma de tratamento inadequado ou ilícito.'}";"0.68";"0.78";"0.54";"0.74";"1.00";"1.00";"gpt"
"grafo";"Estabelecimento comercial pode usar reconhecimento facial para identificar clientes ""suspeitos""?";"{'resposta': 'O uso de reconhecimento facial em estabelecimentos comerciais para identificar clientes ""suspeitos"" envolve tratamento de dados biométricos, considerados sensíveis pela LGPD. Tal prática exige finalidade legítima, transparência e respeito aos direitos do titular, conforme art. 6º e art. 9º da lei.', 'resposta_completa': 'O reconhecimento facial para identificar clientes ""suspeitos"" em estabelecimentos comerciais configura tratamento de dados biométricos, classificados como dados pessoais sensíveis pela LGPD (art. 5º, II). O tratamento desses dados deve observar princípios como finalidade legítima, necessidade, transparência e segurança (art. 6º). O titular tem direito ao acesso facilitado às informações sobre o tratamento, incluindo finalidade, duração e identificação do controlador (art. 9º). O uso só é permitido se houver base legal adequada, como consentimento explícito do titular ou outra hipótese prevista em lei. O descumprimento pode gerar responsabilização e necessidade de reparação de danos. Portanto, a prática só é admitida se atender rigorosamente aos requisitos legais e garantir os direitos dos titulares.', 'chunks': ['9c7da499', 'ffc54078', 'e9106279'], 'trecho_chave': 'Art. 6º As atividades de tratamento de dados pessoais deverão observar a boa-fé e os seguintes princípios: I - finalidade: realização do tratamento para propósitos legítimos, específicos, explícitos e informados ao titular... Art. 9º O titular tem direito ao acesso facilitado às informações sobre o tratamento de seus dados, que deverão ser disponibilizadas de forma clara, adequada e ostensiva...', 'percentual': ['60', '30', '10']}";"0.84";"0.76";"0.55";"0.52";"1.00";"1.00";"gpt"
"grafo";"Meu empregador pode monitorar meu celular corporativo, incluindo WhatsApp?";"{'resposta': 'O monitoramento do celular corporativo pelo empregador é permitido, desde que respeite a legislação vigente, especialmente a LGPD, que exige consentimento do titular para tratamento de dados pessoais, salvo exceções legais. O controlador deve garantir segurança e transparência.', 'resposta_completa': 'O empregador pode monitorar o celular corporativo, inclusive aplicativos como WhatsApp, desde que respeite a Lei Geral de Proteção de Dados (LGPD). O tratamento de dados pessoais exige consentimento do titular, salvo hipóteses legais de dispensa, como legítimo interesse ou cumprimento de obrigação legal. O empregador, como controlador dos dados, deve garantir a segurança da informação, manter registros das operações e informar ao titular sobre o tratamento dos dados, conforme arts. 7º, 8º e 27 da LGPD. O monitoramento deve ser transparente, limitado à finalidade corporativa e comunicado ao funcionário, preservando direitos fundamentais de liberdade, intimidade e privacidade. O uso de ferramentas de monitoramento deve seguir políticas internas e a legislação vigente, sob pena de sanções administrativas.', 'chunks': ['d157f57f', 'a57ec09b', '4d9abb51', '898ad7f0'], 'trecho_chave': 'Obrigatoriedade de fornecimento do consentimento por escrito ou por outro meio que demonstre a manifestação de vontade do titular'}";"0.76";"0.69";"0.54";"0.74";"1.00";"1.00";"gpt"
"grafo";"A escola pode instalar câmera na sala de aula?";"{'resposta': 'A instalação de câmeras em sala de aula para monitoramento e segurança deve observar princípios da LGPD, como finalidade, necessidade, transparência e respeito à privacidade. O tratamento de imagens exige medidas técnicas e administrativas para proteger dados pessoais dos alunos e professores.', 'resposta_completa': 'A escola pode instalar câmeras em sala de aula para monitoramento e segurança, desde que respeite os princípios da Lei Geral de Proteção de Dados (LGPD), especialmente os previstos no art. 6º: finalidade (uso legítimo e informado), necessidade (limitação ao mínimo necessário), transparência (informação clara aos titulares), e segurança (proteção contra acessos não autorizados). Além disso, o art. 2º reforça o respeito à privacidade, à inviolabilidade da intimidade e à dignidade dos envolvidos. O tratamento de imagens deve ser justificado, informado aos titulares (alunos, pais e professores), e acompanhado de medidas de segurança adequadas. Recomenda-se ainda a elaboração de políticas internas e registro das operações de tratamento, conforme art. 50. O descumprimento pode gerar responsabilização e necessidade de reparação de danos.', 'chunks': ['9c7da499', '941201b9', 'b9aa2a08'], 'trecho_chave': 'Art. 6º As atividades de tratamento de dados pessoais deverão observar a boa-fé e os seguintes princípios: I - finalidade [...] III - necessidade [...] VI - transparência [...] VII - segurança [...]'}";"0.82";"0.95";"0.64";"0.78";"1.00";"1.00";"gpt"
"grafo";"Posso pedir para ver as imagens de câmera de segurança de um estabelecimento onde ocorreu um incidente comigo?";"{'resposta': 'O titular dos dados pode solicitar acesso às imagens de câmeras de segurança de estabelecimento onde ocorreu incidente, desde que faça pedido formal e justifique interesse legítimo, conforme previsto na LGPD. O acesso deve respeitar direitos de terceiros e proteção de dados pessoais.', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) garante ao titular dos dados o direito de solicitar acesso a informações pessoais, incluindo imagens de câmeras de segurança, desde que haja justificativa legítima, como a necessidade de obter prova de incidente ocorrido. O pedido deve ser formalizado junto ao estabelecimento, que poderá fornecer as imagens desde que não viole direitos de terceiros ou comprometa a segurança do local. O acesso não possui custo específico previsto em lei, mas pode ser negado caso haja risco à privacidade de outros envolvidos. O procedimento visa equilibrar o direito de acesso do titular com a proteção de dados pessoais e interesses de terceiros.', 'chunks': ['LGPD_Art18', 'LGPD_Art23'], 'trecho_chave': 'O titular dos dados pessoais tem direito a obter do controlador, em relação aos dados do titular por ele tratados, a qualquer momento e mediante requisição, acesso aos dados pessoais.'}";"0.61";"0.61";"0.54";"0.72";"1.00";"1.00";"gpt"
"grafo";"O plano de saúde pode negar cobertura com base no meu histórico de doenças?";"{'resposta': 'A operadora de plano de saúde pode analisar o histórico de doenças, pois dados de saúde são considerados sensíveis. Contudo, a negativa de cobertura deve respeitar a legislação, sendo o tratamento desses dados permitido para tutela da saúde e execução contratual. Trecho-chave: ""VIII - para a tutela da saúde, em procedimento realizado por profissionais da área da saúde ou por entidades sanitárias"".', 'resposta_completa': 'No contexto da LGPD, dados referentes à saúde são classificados como dados pessoais sensíveis (art. 5º, II). O tratamento desses dados por operadoras de planos de saúde é permitido para tutela da saúde e execução de contrato (art. 7º, V e VIII). Assim, a análise do histórico médico pode ocorrer para fins de elegibilidade e restrições contratuais, desde que respeitados os direitos do titular e as finalidades legítimas. A negativa de cobertura baseada exclusivamente no histórico de doenças deve observar a legislação específica do setor de saúde suplementar e não pode ser discriminatória, devendo ser fundamentada em cláusulas contratuais claras e justificadas. O titular tem direito de acesso, correção e eliminação de dados tratados em desconformidade (art. 18).', 'chunks': ['a57ec09b', 'e9106279'], 'trecho_chave': 'VIII - para a tutela da saúde, em procedimento realizado por profissionais da área da saúde ou por entidades sanitárias', 'percentual': ['70', '30']}";"0.74";"0.77";"0.54";"0.64";"1.00";"1.00";"gpt"
"grafo";"O médico pode compartilhar meu prontuário com outro médico sem minha autorização?";"{'resposta': 'O compartilhamento do prontuário médico entre profissionais de saúde pode ocorrer sem consentimento do paciente apenas quando indispensável à tutela da saúde, conforme art. 11, II, f, da LGPD. Fora dessas hipóteses, exige-se consentimento específico do titular dos dados.', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) classifica informações de saúde como dados pessoais sensíveis. O art. 11, I, exige consentimento específico e destacado do titular para o tratamento desses dados. Contudo, o art. 11, II, f, permite o tratamento e o compartilhamento sem consentimento quando necessário à tutela da saúde, em procedimento realizado por profissionais da área da saúde ou entidades sanitárias. Portanto, o médico pode compartilhar o prontuário com outro médico sem autorização do paciente apenas se tal compartilhamento for indispensável para a prestação de cuidados à saúde do próprio titular, respeitando o sigilo e a finalidade do tratamento. Em situações fora desse contexto, o consentimento do paciente é obrigatório.', 'chunks': ['b47f4387', 'e9106279'], 'trecho_chave': 'Art. 11 O tratamento de dados pessoais sensíveis somente poderá ocorrer nas seguintes hipóteses: I - quando o titular ou seu responsável legal consentir, de forma específica e destacada, para finalidades específicas; ... II - sem fornecimento de consentimento do titular, nas hipóteses em que for indispensável para: ... f) tutela da saúde, em procedimento realizado por profissionais da área da saúde ou por entidades sanitárias;', 'percentual': ['80', '20']}";"0.95";"0.98";"0.55";"0.81";"1.00";"1.00";"gpt"
"grafo";"A farmácia pode vender meu histórico de compras de medicamentos para laboratórios?";"{'resposta': 'Farmácias não podem vender ou compartilhar seu histórico de compras de medicamentos com laboratórios sem seu consentimento específico, pois tais dados são pessoais e sensíveis. O tratamento deve observar finalidade, necessidade e transparência, conforme a LGPD. Trecho-chave: ""manifestação livre, informada e inequívoca pela qual o titular concorda com tratamento de seus dados pessoais para uma finalidade determinada"".', 'resposta_completa': 'A venda ou compartilhamento do histórico de compras de medicamentos por farmácias a laboratórios configura tratamento de dados pessoais sensíveis, pois envolve informações sobre saúde. Segundo a LGPD, esse tratamento só pode ocorrer mediante consentimento livre, informado e inequívoco do titular, para finalidade determinada. Além disso, a farmácia, como controladora dos dados, deve garantir transparência, necessidade e adequação do tratamento, informando claramente ao titular sobre o uso compartilhado e a finalidade. O descumprimento dessas obrigações pode acarretar sanções administrativas, como advertências, multas e até eliminação dos dados. Portanto, sem consentimento explícito, a venda ou compartilhamento é vedada.', 'chunks': ['e9106279', '9c7da499'], 'trecho_chave': 'manifestação livre, informada e inequívoca pela qual o titular concorda com tratamento de seus dados pessoais para uma finalidade determinada', 'percentual': ['60', '40']}";"0.76";"0.86";"0.97";"0.58";"1.00";"1.00";"gpt"
