"type";"question";"complexity";"saf";"nli";"sim";"response_llm";"model"
"grafo";"Meu vizinho instalou câmera que filma minha janela e varanda. O que a LGPD diz?";"0.89";"0.82";"0.54";"0.75";"{'resposta': 'A captação de imagens por câmeras privadas direcionadas à janela e varanda de residência individual pode violar o direito à privacidade e à proteção de dados pessoais, conforme a LGPD, que tem como fundamento o respeito à privacidade e à inviolabilidade da intimidade, honra e imagem.', 'resposta_completa': 'A gravação de imagens por câmeras privadas direcionadas para áreas privadas, como janelas e varandas de residências, pode configurar violação à privacidade e à proteção de dados pessoais, conforme a Lei Geral de Proteção de Dados (LGPD). O art. 2º da LGPD estabelece como fundamentos o respeito à privacidade e a inviolabilidade da intimidade, da honra e da imagem. Além disso, o art. 1º reforça que a lei visa proteger os direitos fundamentais de liberdade e de privacidade. Caso haja dano patrimonial ou moral decorrente dessa captação indevida, o responsável pode ser obrigado a repará-lo, conforme art. 42. Portanto, a instalação de câmeras que gravem imagens de áreas privadas de terceiros sem consentimento pode ser considerada irregular e passível de responsabilização.', 'chunks': ['941201b9', '820509db', '82b9f0a4'], 'trecho_chave': 'Art. 2º A disciplina da proteção de dados pessoais tem como fundamentos: I - o respeito à privacidade; ... IV - a inviolabilidade da intimidade, da honra e da imagem;', 'percentual': ['50', '30', '20']}";"maritaca"
"grafo";"O supermercado pode me filmar enquanto faço compras?";"0.74";"0.87";"0.54";"0.67";"{'resposta': 'A captação e gravação de imagens de clientes por câmeras de vigilância no supermercado é permitida para segurança patrimonial, desde que respeite princípios como finalidade, necessidade e transparência, conforme art. 6º da LGPD. O titular deve ser informado sobre o tratamento.', 'resposta_completa': 'A gravação de imagens de clientes durante compras em supermercados é permitida, desde que o tratamento dos dados pessoais observe os princípios da LGPD, especialmente os de finalidade (uso para segurança patrimonial e prevenção de incidentes), necessidade (limitação ao mínimo necessário) e transparência (informação clara ao titular sobre a captação). O supermercado, como controlador de dados, deve garantir que o tratamento não seja excessivo e que os titulares tenham acesso facilitado às informações sobre o tratamento de seus dados. O trecho-chave do art. 6º da LGPD destaca a importância de informar o titular e limitar o tratamento ao necessário, além de garantir a segurança dos dados captados.', 'chunks': ['9c7da499', '941201b9'], 'trecho_chave': 'Art. 6º As atividades de tratamento de dados pessoais deverão observar a boa-fé e os seguintes princípios: I - finalidade: realização do tratamento para propósitos legítimos, específicos, explícitos e informados ao titular...', 'percentual': ['80', '20']}";"maritaca"
"grafo";"Posso fotografar pessoas na rua e postar nas redes sociais?";"0.86";"0.79";"0.54";"0.62";"{'resposta': 'Fotografar pessoas na rua e publicar nas redes sociais envolve tratamento de dados pessoais, pois a imagem é dado pessoal conforme a LGPD. O consentimento do titular é necessário, salvo exceções legais. O trecho-chave: ""dado pessoal: informação relacionada a pessoa natural identificada ou identificável"" fundamenta essa análise.', 'resposta_completa': 'A imagem de uma pessoa é considerada dado pessoal pela LGPD, pois permite identificar o titular. O tratamento desses dados, como fotografar e publicar em redes sociais, exige consentimento do titular, salvo exceções previstas em lei, como uso para fins exclusivamente particulares e não econômicos, jornalísticos, artísticos ou acadêmicos. Fora dessas hipóteses, a publicação sem consentimento pode violar direitos de privacidade e liberdade do titular, podendo gerar responsabilização. O trecho-chave do art. 5º da LGPD define dado pessoal como qualquer informação relacionada a pessoa natural identificada ou identificável, abrangendo imagens captadas em locais públicos.', 'chunks': ['e9106279'], 'trecho_chave': 'dado pessoal: informação relacionada a pessoa natural identificada ou identificável', 'percentual': ['100']}";"maritaca"
"grafo";"A câmera do meu condomínio que fica na entrada pode ser acessada por qualquer morador?";"0.80";"0.92";"0.54";"0.73";"{'resposta': 'O acesso às imagens da câmera de entrada do condomínio não pode ser liberado a qualquer morador, pois a LGPD exige medidas de segurança para proteger dados pessoais de acessos não autorizados. O acesso deve ser restrito e controlado pela administração do condomínio.', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) determina que agentes de tratamento, como o condomínio, adotem medidas de segurança para proteger dados pessoais, incluindo imagens de câmeras de segurança, contra acessos não autorizados (Art. 46). Além disso, o tratamento desses dados deve observar princípios como finalidade, necessidade e segurança (Art. 6º). Assim, o acesso às imagens da câmera de entrada não pode ser disponibilizado livremente a qualquer morador, devendo ser restrito à administração ou a pessoas autorizadas, conforme regulamento interno, para evitar exposição indevida de dados pessoais e garantir a privacidade dos titulares. O fornecimento de imagens a moradores só pode ocorrer mediante justificativa legítima e procedimento formal, respeitando a legislação vigente.', 'chunks': ['44589f1c', '9c7da499'], 'trecho_chave': 'Os agentes de tratamento devem adotar medidas de segurança, técnicas e administrativas aptas a proteger os dados pessoais de acessos não autorizados'}";"maritaca"
"grafo";"Estabelecimento comercial pode usar reconhecimento facial para identificar clientes ""suspeitos""?";"0.87";"0.59";"1.00";"0.53";"{'resposta': 'O uso de reconhecimento facial por estabelecimento comercial para identificar clientes ""suspeitos"" configura tratamento de dado pessoal sensível, exigindo consentimento específico do titular, salvo hipóteses legais expressas. O art. 11 da LGPD exige consentimento destacado para finalidades específicas.', 'resposta_completa': 'A implementação de sistemas de reconhecimento facial em estabelecimentos comerciais para identificar clientes considerados ""suspeitos"" caracteriza tratamento de dados pessoais sensíveis, conforme art. 11 da LGPD. Tal tratamento só é permitido mediante consentimento específico e destacado do titular para finalidades determinadas, salvo exceções legais como proteção da vida, incolumidade física ou prevenção à fraude, desde que não prevaleçam direitos e liberdades fundamentais do titular. O controlador deve garantir transparência, informar claramente a finalidade, duração e responsabilidades, conforme art. 9º, e assegurar os direitos do titular. O uso sem consentimento pode ser considerado ilegal, exceto se enquadrado nas hipóteses do art. 11, II, da LGPD.', 'chunks': ['b47f4387', 'ffc54078'], 'trecho_chave': 'Art. 11 O tratamento de dados pessoais sensíveis somente poderá ocorrer nas seguintes hipóteses: I - quando o titular ou seu responsável legal consentir, de forma específica e destacada, para finalidades específicas;', 'percentual': ['80', '20']}";"maritaca"
"grafo";"Meu empregador pode monitorar meu celular corporativo, incluindo WhatsApp?";"0.73";"0.47";"0.56";"0.72";"{'resposta': 'O monitoramento do celular corporativo, incluindo WhatsApp, pode ocorrer se previsto em política interna clara, respeitando direitos de privacidade, liberdade e intimidade do titular dos dados, conforme obrigações da LGPD. O consentimento e a transparência são essenciais.', 'resposta_completa': 'O empregador pode monitorar o celular corporativo e aplicativos como WhatsApp, desde que haja previsão em política interna clara e transparente, respeitando os direitos fundamentais de liberdade, intimidade e privacidade do colaborador, conforme previsto na LGPD (Lei Geral de Proteção de Dados). O consentimento do titular é obrigatório para o tratamento de dados pessoais, salvo hipóteses legais específicas. O empregador deve informar de forma clara sobre a finalidade, procedimentos e práticas do monitoramento, garantindo acesso facilitado às informações sobre o tratamento dos dados. O monitoramento deve ser proporcional, limitado à finalidade de controle interno e segurança da informação, e não pode violar direitos fundamentais do colaborador.', 'chunks': ['4d9abb51', 'd157f57f'], 'trecho_chave': 'Garantir ao titular os direitos fundamentais de liberdade, intimidade e privacidade. Obrigatoriedade de fornecimento do consentimento por escrito ou por outro meio que demonstre a manifestação de vontade do titular', 'percentual': ['70', '30']}";"maritaca"
"grafo";"A escola pode instalar câmera na sala de aula?";"0.82";"0.74";"0.55";"0.59";"{'resposta': 'A instalação de câmeras em sala de aula pela escola envolve tratamento de dados pessoais, exigindo consentimento específico dos responsáveis, garantia de segurança da informação e respeito à privacidade, conforme art. 11 e art. 47 da LGPD. O tratamento só é permitido em hipóteses legais.', 'resposta_completa': 'A escola, ao instalar câmeras em sala de aula, realiza tratamento de dados pessoais, incluindo imagens de crianças e adolescentes. Segundo o art. 11 da LGPD, o tratamento de dados sensíveis, como imagens, só pode ocorrer com consentimento específico e destacado do responsável legal, ou em hipóteses legais como proteção da vida ou segurança. Além disso, o art. 47 obriga a escola a garantir a segurança da informação mesmo após o término do tratamento. É fundamental que a escola adote medidas técnicas e administrativas para proteger esses dados, informe claramente a finalidade da gravação e respeite os direitos de liberdade, intimidade e privacidade dos titulares. O descumprimento pode gerar responsabilidade civil e sanções administrativas.', 'chunks': ['b47f4387', '45b210a8'], 'trecho_chave': 'Art. 11 O tratamento de dados pessoais sensíveis somente poderá ocorrer nas seguintes hipóteses: I - quando o titular ou seu responsável legal consentir, de forma específica e destacada, para finalidades específicas; Art. 47 Os agentes de tratamento [...] obriga-se a garantir a segurança da informação prevista nesta Lei em relação aos dados pessoais, mesmo após o seu término.', 'percentual': ['70', '30']}";"maritaca"
"grafo";"Posso pedir para ver as imagens de câmera de segurança de um estabelecimento onde ocorreu um incidente comigo?";"0.78";"0.95";"0.54";"0.53";"{'resposta': 'O titular dos dados pode solicitar acesso às imagens de câmeras de segurança referentes ao incidente ocorrido, fundamentando-se no direito de acesso facilitado às informações sobre o tratamento de seus dados pessoais, conforme previsto no art. 9º da LGPD.', 'resposta_completa': 'A Lei Geral de Proteção de Dados (LGPD) assegura ao titular dos dados o direito de acesso facilitado às informações sobre o tratamento de seus dados pessoais, incluindo imagens captadas por câmeras de segurança em estabelecimentos. O art. 9º da LGPD determina que essas informações devem ser disponibilizadas de forma clara, adequada e ostensiva, mediante requisição do titular. Assim, após um incidente, o titular pode formalizar o pedido ao controlador do estabelecimento para acessar as imagens do período do ocorrido. O fornecimento dessas imagens deve respeitar os princípios da finalidade, necessidade e transparência, podendo ser negado apenas em casos de proteção de terceiros ou segredos comerciais, o que deve ser justificado pelo controlador.', 'chunks': ['ffc54078', '9c7da499'], 'trecho_chave': 'Art. 9º O titular tem direito ao acesso facilitado às informações sobre o tratamento de seus dados, que deverão ser disponibilizadas de forma clara, adequada e ostensiva', 'percentual': ['80', '20']}";"maritaca"
"grafo";"O plano de saúde pode negar cobertura com base no meu histórico de doenças?";"0.82";"0.83";"0.53";"0.68";"{'resposta': 'A negativa de cobertura pelo plano de saúde com base no histórico de doenças envolve tratamento de dados sensíveis, permitido apenas mediante consentimento específico ou para tutela da saúde, conforme art. 11 da LGPD. O uso desses dados deve respeitar direitos fundamentais do titular.', 'resposta_completa': 'O plano de saúde, ao analisar o histórico de doenças do titular, está tratando dados pessoais sensíveis, conforme art. 5º, II, da LGPD. O tratamento desses dados só pode ocorrer mediante consentimento específico e destacado do titular, ou nas hipóteses legais, como para tutela da saúde, conforme art. 11 da LGPD. A negativa de cobertura baseada exclusivamente no histórico de doenças pode ser questionada, pois o uso desses dados deve respeitar os direitos fundamentais de liberdade, intimidade e privacidade do titular. Além disso, a recusa de cobertura não pode ser fundamentada em tratamento automatizado sem possibilidade de revisão humana, conforme art. 20 da LGPD. Portanto, a operadora deve justificar a negativa com base em critérios legais e regulatórios, não apenas no histórico de saúde, e garantir transparência e respeito aos direitos do titular.', 'chunks': ['b47f4387', 'e9106279'], 'trecho_chave': 'Art. 11 O tratamento de dados pessoais sensíveis somente poderá ocorrer nas seguintes hipóteses: I - quando o titular ou seu responsável legal consentir, de forma específica e destacada, para finalidades específicas;', 'percentual': ['70', '30']}";"maritaca"
"grafo";"O médico pode compartilhar meu prontuário com outro médico sem minha autorização?";"0.62";"0.63";"0.56";"0.68";"{'resposta': 'O compartilhamento do prontuário médico entre médicos pode ocorrer sem consentimento do titular quando necessário para tutela da saúde, conforme art. 7º, VIII da LGPD. O consentimento é dispensado em procedimentos realizados por profissionais da saúde ou entidades sanitárias.', 'resposta_completa': ""A Lei Geral de Proteção de Dados (LGPD) prevê que o tratamento e o compartilhamento de dados pessoais sensíveis, como informações de prontuário médico, dependem do consentimento do titular. Contudo, há exceção expressa no art. 7º, VIII, que permite o tratamento e o compartilhamento desses dados sem consentimento quando necessário para a tutela da saúde, em procedimento realizado por profissionais da área da saúde ou por entidades sanitárias. Assim, se o compartilhamento do prontuário médico entre médicos ocorrer no contexto de atendimento médico ou continuidade de tratamento, não é exigida autorização prévia do paciente, pois a finalidade é a proteção da saúde do titular. O trecho-chave que fundamenta essa resposta é: 'para a tutela da saúde, em procedimento realizado por profissionais da área da saúde ou por entidades sanitárias'."", 'chunks': ['a57ec09b', 'e9106279'], 'trecho_chave': 'para a tutela da saúde, em procedimento realizado por profissionais da área da saúde ou por entidades sanitárias', 'percentual': ['80', '20']}";"maritaca"
"grafo";"A farmácia pode vender meu histórico de compras de medicamentos para laboratórios?";"0.83";"0.97";"0.71";"0.71";"{'resposta': 'A farmácia não pode vender ou compartilhar seu histórico de compras de medicamentos com laboratórios sem seu consentimento específico e destacado, pois tais informações são dados pessoais sensíveis. O tratamento só é permitido nas hipóteses do art. 11 da LGPD, como consentimento do titular.', 'resposta_completa': 'O histórico de compras de medicamentos é considerado dado pessoal sensível, pois se refere à saúde do titular, conforme art. 5º, II, da LGPD. O art. 11 da LGPD determina que o tratamento desses dados, incluindo venda ou compartilhamento com terceiros como laboratórios, só pode ocorrer mediante consentimento específico e destacado do titular para finalidades determinadas, ou em hipóteses excepcionais previstas em lei, como obrigação legal, estudos por órgão de pesquisa com anonimização, tutela da saúde por profissionais ou entidades sanitárias, entre outros. Fora dessas hipóteses, a venda ou compartilhamento é vedada, protegendo a privacidade do titular.', 'chunks': ['b47f4387', 'e9106279'], 'trecho_chave': 'Art. 11 O tratamento de dados pessoais sensíveis somente poderá ocorrer nas seguintes hipóteses: I - quando o titular ou seu responsável legal consentir, de forma específica e destacada, para finalidades específicas;', 'percentual': ['70', '30']}";"maritaca"
"grafo";"Posso me recusar a informar minha pressão arterial/temperatura na entrada de uma empresa?";"0.79";"0.52";"0.38";"0.43";"{'resposta': 'O titular dos dados pessoais, conforme a LGPD, tem direito de não fornecer informações sensíveis, como pressão arterial ou temperatura, na entrada de uma empresa. O tratamento desses dados exige consentimento livre e informado, conforme art. 5º e art. 18 da Lei 13.709/2018.', 'resposta_completa': ""A Lei Geral de Proteção de Dados (LGPD) define como dado pessoal sensível toda informação referente à saúde do titular (art. 5º, II). O tratamento desses dados, como pressão arterial ou temperatura, só pode ocorrer mediante consentimento específico e destacado do titular, salvo exceções legais. O art. 18 da LGPD garante ao titular o direito de ser informado sobre a possibilidade de não fornecer consentimento e as consequências da recusa. Assim, ao ser solicitado a informar pressão arterial ou temperatura na entrada de uma empresa, o titular pode recusar, pois não há obrigação legal geral que o obrigue a fornecer tais dados, salvo em situações excepcionais previstas em lei (por exemplo, normas sanitárias específicas em contextos de pandemia). O trecho-chave que fundamenta essa resposta é: 'VIII - informação sobre a possibilidade de não fornecer consentimento e sobre as consequências da negativa'."", 'chunks': ['f9e4ad69', 'e9106279'], 'trecho_chave': 'VIII - informação sobre a possibilidade de não fornecer consentimento e sobre as consequências da negativa;', 'percentual': ['60', '40']}";"maritaca"
