"type";"question";"gold_answer";"llm_response";"complexity";"saf";"nli";"sim";"relevancy";"faithfulness";"model"
"grafo";"Meu chefe pode exigir minha digital para acessar o computador da empresa?";"Se é equipamento da empresa, o empregador pode argumentar ""legítimo interesse"" na segurança patrimonial. Mas a biometria é dado sensível do empregado. A ANPD recomenda que o empregador ofereça alternativa (senha forte + token), mas não é obrigatório.";"{'resposta': 'Sim, o empregador pode exigir a biometria (digital) para acesso ao computador corporativo, desde que o tratamento de dados seja feito para finalidade legítima, específica e informada ao empregado, conforme o princípio da finalidade previsto no art. 6º, I, da LGPD. O empregador deve garantir transparência, segurança e informar as consequências da recusa, respeitando os direitos fundamentais de privacidade e liberdade do titular dos dados, conforme art. 6º, VI e VII, e art. 7º, IX, da LGPD.', 'resposta_completa': 'A exigência de biometria (digital) pelo empregador para acesso ao computador corporativo é permitida, desde que observados os princípios da Lei Geral de Proteção de Dados (LGPD). O tratamento deve ter finalidade legítima, específica e informada ao empregado (art. 6º, I), ser limitado ao necessário (princípio da necessidade), e garantir transparência e segurança (art. 6º, VI e VII). O empregador deve informar claramente ao empregado sobre o tratamento, finalidade, procedimentos e consequências da recusa, respeitando os direitos de privacidade e liberdade do titular. A coleta de biometria é considerada dado pessoal sensível, exigindo ainda mais cautela, mas pode ser justificada para segurança da informação e proteção de dados corporativos, desde que não haja abuso ou discriminação. O empregado pode solicitar informações sobre o tratamento e eventual revisão da decisão automatizada, conforme art. 18 e 20 da LGPD.', 'chunks': ['9c7da499', 'b47f4387'], 'trecho_chave': 'realização do tratamento para propósitos legítimos, específicos, explícitos e informados ao titular', 'percentual': ['70', '30']}";"0.92";"0.84";"0.55";"0.63";"1.00";"1.00";"maritaca"
"grafo";"O banco pode exigir biometria facial para transações pelo aplicativo?";"A resolução CMN 4.893/2021 permite, mas exige consentimento. A ambiguidade: se o cliente recusa, o banco pode limitar funcionalidades ou encerrar a conta? O Art. 9º do CDC proíbe prática discriminatória, mas a segurança é argumento válido.";"{'resposta': ""Sim, o banco pode exigir biometria facial para autenticação em transações via aplicativo, pois trata-se de dado pessoal sensível cujo tratamento é permitido para prevenção à fraude e segurança do titular, conforme art. 11, II, 'g', da LGPD. O banco, como controlador, deve garantir consentimento específico e informado, finalidade clara e medidas de segurança adequadas, respeitando os direitos do titular e as obrigações legais de transparência e proteção de dados."", 'chunks': ['b47f4387', 'd157f57f'], 'trecho_chave': 'Permissão do tratamento de dados pessoais sensíveis para prevenção à fraude e segurança do titular em processos de identificação e autenticação em sistemas eletrônicos', 'percentual': ['70', '30']}";"0.81";"0.84";"0.54";"0.55";"1.00";"1.00";"maritaca"
"grafo";"Posso exigir que meus dados biométricos sejam processados ""on-device"" e não na nuvem?";"A LGPD não especifica o local de processamento, apenas exige ""segurança"". O titular pode argumentar ""minimização de risco"", mas a escolha da arquitetura é do controlador, desde que haja criptografia adequada.";"{'resposta': 'Sim, o titular pode solicitar que seus dados biométricos sejam processados localmente, com base no direito à autodeterminação informativa e à privacidade (Art. 2º, II, LGPD). O controlador deve avaliar a viabilidade técnica e garantir que o processamento local não viole outros princípios, como segurança e finalidade. A LGPD não impõe local específico de processamento, mas exige transparência e medidas de proteção adequadas (Art. 6º, VII). O pedido deve ser fundamentado e documentado, podendo ser aceito se não inviabilizar a finalidade do tratamento.', 'resposta_completa': 'O titular de dados biométricos, considerados dados pessoais sensíveis, pode fundamentadamente solicitar que o processamento ocorra exclusivamente em seu dispositivo (on-device), invocando o direito à autodeterminação informativa e à privacidade, previstos no Art. 2º, II, da LGPD. A lei não determina o local físico do processamento, mas impõe ao controlador o dever de adotar medidas técnicas e administrativas para garantir segurança, finalidade e transparência (Art. 6º, VII). O pedido deve ser analisado pelo controlador, que pode aceitá-lo se não comprometer a finalidade do tratamento ou a segurança dos dados. Caso o processamento local seja tecnicamente viável e não gere riscos adicionais, o controlador deve atender à solicitação, registrando a decisão e informando o titular. A recusa deve ser justificada e comunicada de forma clara, respeitando os direitos do titular.', 'chunks': ['941201b9', '9c7da499', 'b47f4387'], 'trecho_chave': 'Art. 2º, II - autodeterminação informativa; Art. 6º, VII - segurança no tratamento; Art. 11 - tratamento de dados sensíveis mediante consentimento específico', 'percentual': ['40', '30', '30']}";"0.72";"0.57";"0.57";"0.68";"1.00";"1.00";"maritaca"
"grafo";"A empresa de ônibus pode exigir biometria para identificação estudantil?";"O benefício social (meia-passagem) é regido por lei específica. A biometria pode ser exigida para ""prevenção à fraude"", mas a ambiguidade: até onde vai a ""proporcionalidade""? A fiscalização pode ser feita por apresentação de documento com foto.";"{'resposta': 'A empresa de ônibus pode exigir biometria para identificação estudantil, desde que haja consentimento específico e destacado do titular ou responsável legal, conforme o art. 11, I, da LGPD. Alternativamente, é permitido o tratamento sem consentimento apenas se indispensável para prevenção à fraude e segurança do titular em processos de identificação, resguardados os direitos fundamentais. O titular deve ser informado sobre a finalidade e garantido o acesso facilitado às informações do tratamento, nos termos do art. 9º da LGPD.', 'chunks': ['b47f4387', 'ffc54078'], 'trecho_chave': 'garantia da prevenção à fraude e à segurança do titular, nos processos de identificação e autenticação de cadastro em sistemas eletrônicos', 'percentual': ['70', '30']}";"0.85";"0.78";"0.54";"0.58";"1.00";"1.00";"maritaca"
"grafo";"Posso revogar consentimento para uso de biometria a qualquer momento?";"Sim, conforme Art. 8º, § 4º. Mas a revogação tem efeitos práticos: o condomínio pode negar acesso? A empresa pode suspender o empregado? A lei não clarifica as consequências da revogação em contextos de dependência funcional.";"{'resposta': 'Sim, o titular pode revogar o consentimento para uso de biometria a qualquer momento, conforme o art. 18, IX, da LGPD, que assegura o direito de revogação mediante requisição ao controlador. O condomínio, como controlador, deve processar a solicitação sem custos e interromper o tratamento dos dados biométricos, salvo hipóteses legais de manutenção. O pedido pode ser feito por canal oficial do condomínio, e a revogação deve ser efetivada imediatamente, resguardadas obrigações legais.', 'chunks': ['f9e4ad69', '2c784e52'], 'trecho_chave': 'revogação do consentimento, nos termos do § 5º do art. 8º desta Lei', 'percentual': ['70', '30']}";"0.62";"0.72";"0.59";"0.55";"1.00";"1.00";"maritaca"
"grafo";"O hospital pode usar meu reconhecimento facial para identificar pacientes frequentes?";"Pode haver ""interesse legítimo"" em identificar pacientes com histórico de comportamento agressivo. Mas e se for usado para identificar ""pacientes de alto custo"" para fins de seleção de risco? Isso configuraria discriminação?";"{'resposta': 'O hospital pode utilizar reconhecimento facial para identificar pacientes frequentes, desde que obtenha consentimento específico e destacado do titular, conforme o art. 11, I, da LGPD, pois se trata de dado pessoal sensível. O tratamento deve ser transparente, informando finalidade, duração e demais requisitos do art. 9º da LGPD, e o titular deve ser informado sobre a possibilidade de não consentir e as consequências. O uso é permitido apenas para finalidades específicas e legítimas, com garantia dos direitos de privacidade e proteção de dados do paciente.', 'chunks': ['b47f4387', 'ffc54078'], 'trecho_chave': 'tratamento de dados pessoais sensíveis somente poderá ocorrer [...] quando o titular [...] consentir, de forma específica e destacada, para finalidades específicas', 'percentual': ['60', '40']}";"0.90";"0.86";"0.54";"0.49";"1.00";"1.00";"maritaca"
"grafo";"Minha foto de perfil do LinkedIn pode ser usada por empresa de recrutamento sem autorização?";"A plataforma pode ter cláusulas nos termos de uso permitindo. Mas a LGPD exige ""base legal"" - o Art. 7º, IV permite para ""exercício de direitos"", mas recrutamento comercial é ""interesse legítimo"" ou precisa de consentimento?";"{'resposta': 'Não. O uso da foto de perfil do LinkedIn por empresa de recrutamento, para fins de seleção e em seus sistemas, sem autorização expressa do titular, viola a LGPD. O art. 5º, XII, exige consentimento livre, informado e inequívoco para tratamento de dados pessoais, incluindo imagens. O titular tem direito de controlar o uso de seus dados e pode exigir eliminação ou correção, conforme art. 18. O tratamento sem consentimento só é permitido em hipóteses legais específicas, não aplicáveis ao caso de recrutamento privado sem anuência.', 'chunks': ['e9106279', 'f9e4ad69'], 'trecho_chave': 'consentimento: manifestação livre, informada e inequívoca pela qual o titular concorda com o tratamento de seus dados pessoais para uma finalidade determinada', 'percentual': ['60', '40']}";"0.65";"0.71";"0.54";"0.61";"1.00";"1.00";"maritaca"
"grafo";"O aeroporto pode usar reconhecimento facial para embarque?";"A Resolução ANAC 600/2022 permite como ""facultativo"". A ambiguidade: se é opcional, mas 99% dos passageiros usam por conveniência, o funcionário pode pressionar quem recusa? E se o sistema falhar, quem tem prioridade: quem usou biometria ou fila tradicional?";"{'resposta': ""Sim, o aeroporto pode utilizar reconhecimento facial para embarque, pois se trata de tratamento de dado biométrico (dado pessoal sensível) para finalidade de segurança e autenticação, hipótese prevista no art. 11, II, 'g', da LGPD, que dispensa consentimento quando indispensável à prevenção de fraude e à segurança do titular em processos de identificação. O controlador deve garantir medidas de proteção e transparência, conforme art. 46 da LGPD."", 'chunks': ['b47f4387', '44589f1c'], 'trecho_chave': 'garantia da prevenção à fraude e à segurança do titular, nos processos de identificação e autenticação de cadastro em sistemas eletrônicos', 'percentual': ['70', '30']}";"0.90";"0.83";"0.54";"0.37";"1.00";"1.00";"maritaca"
"grafo";"Posso exigir que minha biometria seja apagada imediatamente após sair de um evento?";"O Art. 18 da LGPD permite ""eliminação"". Mas se o evento alegar ""legítimo interesse"" em manter registros por 90 dias para ""prevenção a ilícitos criminais""? O prazo é discricionário do controlador.";"{'resposta': 'Sim, você pode exigir a exclusão imediata de sua biometria após sair do evento, pois a LGPD assegura ao titular o direito de solicitar a eliminação dos dados pessoais tratados com seu consentimento ao término da relação, salvo exceções legais. O controlador deve atender ao pedido, exceto se houver obrigação legal de retenção ou outra hipótese prevista no art. 16 da LGPD. O direito é gratuito e deve ser exercido mediante solicitação expressa ao responsável pelo tratamento dos dados do evento.', 'chunks': ['f1ac48cc', 'b47f4387'], 'trecho_chave': 'exclusão definitiva dos dados pessoais que tiver fornecido [...] ao término da relação entre as partes', 'percentual': ['70', '30']}";"0.71";"0.81";"0.54";"0.62";"1.00";"1.00";"maritaca"
"grafo";"A empresa de plano de saúde pode exigir biometria para acesso ao app?";"Pode argumentar ""tutela da saúde"". Mas a recusa pode implicar negativa de cobertura? O Art. 10 do CDC veda negativa de atendimento, mas app é ""acesso"" ou ""serviço essencial""?";"{'resposta': ""Sim, a empresa de plano de saúde pode exigir biometria para acesso ao aplicativo, pois o tratamento de dados biométricos (sensíveis) é permitido para garantir a prevenção à fraude e a segurança do titular nos processos de autenticação eletrônica, conforme art. 11, II, 'g', da LGPD. O consentimento específico e destacado do titular é necessário, salvo hipóteses legais específicas. O controlador deve garantir transparência, finalidade específica e proteção dos direitos fundamentais do titular, como privacidade e liberdade."", 'chunks': ['b47f4387'], 'trecho_chave': 'garantia da prevenção à fraude e à segurança do titular, nos processos de identificação e autenticação de cadastro em sistemas eletrônicos', 'percentual': ['100']}";"0.93";"0.80";"0.54";"0.45";"1.00";"1.00";"maritaca"
"grafo";"Meu empregador instalou câmera apontada diretamente para minha mesa. Isso é permitido?";"É zona cinzenta. Câmeras no ambiente de trabalho são permitidas para segurança e controle, mas devem respeitar o princípio da necessidade (art. 6º, III). Câmera focada exclusivamente em um funcionário pode configurar monitoramento desproporcional. O TST já decidiu que câmeras em posição degradante ou em locais íntimos são proibidas.";"{'resposta': 'A instalação de câmera apontada diretamente à mesa do empregado é permitida apenas se houver finalidade legítima, transparência, consentimento informado e respeito à privacidade, conforme princípios da LGPD (art. 6º, I e VI). O monitoramento deve ser proporcional, não excessivo e não discriminatório, com comunicação clara ao titular dos dados. Caso contrário, viola direitos fundamentais de intimidade e privacidade (art. 2º, I e IV da LGPD). O empregador deve garantir que o tratamento seja limitado ao estritamente necessário e que existam medidas de segurança adequadas.', 'chunks': ['9c7da499', '941201b9'], 'trecho_chave': 'realização do tratamento para propósitos legítimos, específicos, explícitos e informados ao titular', 'percentual': ['60', '40']}";"0.63";"0.89";"0.54";"0.79";"1.00";"1.00";"maritaca"
"grafo";"O app de delivery pode exigir acesso à minha localização em tempo real?";"Para entrega, é necessário. Mas depois da entrega? O Art. 9º sugere ""minimização"" - manter apenas o necessário. A ambiguidade: por quanto tempo exatamente? O app pode usar para ""melhorar rotas futuras""?";"{'resposta': 'Sim, o aplicativo de delivery pode solicitar acesso à localização em tempo real, desde que obtenha consentimento explícito do usuário e justifique a necessidade para viabilizar a entrega, conforme o princípio da finalidade e necessidade previsto no art. 6º da LGPD. O titular deve ser informado sobre a coleta, finalidade e possibilidade de negar o consentimento, com transparência e respeito à privacidade. O tratamento deve ser limitado ao mínimo necessário e cessar quando a finalidade for atingida.', 'chunks': ['9c7da499', 'f9e4ad69'], 'trecho_chave': 'limitação do tratamento ao mínimo necessário para a realização de suas finalidades, com abrangência dos dados pertinentes, proporcionais e não excessivos', 'percentual': ['60', '40']}";"0.78";"0.92";"0.55";"0.50";"1.00";"1.00";"maritaca"
"grafo";"O app de delivery pode exigir acesso à minha localização em tempo real?";"Para entrega, é necessário. Mas depois da entrega? O Art. 9º sugere ""minimização"" - manter apenas o necessário. A ambiguidade: por quanto tempo exatamente? O app pode usar para ""melhorar rotas futuras""?";"{'resposta': 'Sim, o aplicativo de delivery pode exigir acesso à localização em tempo real, desde que o faça para finalidade legítima, específica e informada ao usuário, conforme o princípio da finalidade e necessidade previsto no art. 6º da LGPD. O consentimento deve ser livre, informado e inequívoco, e o tratamento deve ser limitado ao mínimo necessário para viabilizar a entrega. O titular tem direito de saber como seus dados são usados e pode revogar o consentimento a qualquer momento, nos termos dos arts. 8º e 18 da LGPD.', 'chunks': ['9c7da499', 'a57ec09b'], 'trecho_chave': 'realização do tratamento para propósitos legítimos, específicos, explícitos e informados ao titular', 'percentual': ['60', '40']}";"0.63";"0.89";"0.54";"0.44";"1.00";"1.00";"maritaca"
"grafo";"Meu empregador pode monitorar minhas conversas no WhatsApp corporativo?";"Se é conta corporativa, sim. Mas se uso meu número pessoal para comunicação com colegas sobre trabalho? A linha entre ""vida privada"" e ""corporativa"" é ambígua.";"{'resposta': 'Sim, o empregador pode monitorar conversas no WhatsApp corporativo, pois o aplicativo é ferramenta de trabalho fornecida pela empresa. O monitoramento deve respeitar os princípios da LGPD, como finalidade, necessidade e transparência, e estar previsto em política interna clara, informada ao colaborador. O art. 6º da LGPD exige que o tratamento de dados seja realizado para propósitos legítimos, específicos e informados ao titular, limitando-se ao mínimo necessário para o cumprimento das finalidades organizacionais e de compliance.', 'chunks': ['9c7da499', '820509db'], 'trecho_chave': 'realização do tratamento para propósitos legítimos, específicos, explícitos e informados ao titular', 'percentual': ['70', '30']}";"0.76";"0.72";"0.54";"0.51";"1.00";"1.00";"maritaca"
"grafo";"A empresa pode exigir senha do meu e-mail pessoal para ""auditoria""?";"Absolutamente não, exceto se houver ordem judicial. Mas a empresa pode exigir acesso a e-mails enviados DE/PARA o domínio corporativo - isso é lícito.";"{'resposta': 'Não. A empresa não pode exigir a senha de e-mail pessoal do empregado para fins de auditoria, pois isso viola os direitos fundamentais de liberdade, intimidade e privacidade do titular dos dados, conforme a LGPD (Lei 13.709/2018). O tratamento de dados pessoais deve respeitar os princípios da finalidade, necessidade e segurança, sendo vedado o acesso a conteúdos privados sem consentimento específico e informado, o que não se presume em relações de emprego. O e-mail pessoal é considerado dado pessoal e sua proteção é assegurada pelo art. 1º e art. 6º da LGPD.', 'chunks': ['820509db', '9c7da499'], 'trecho_chave': 'proteger os direitos fundamentais de liberdade e de privacidade e o livre desenvolvimento da personalidade da pessoa natural', 'percentual': ['60', '40']}";"0.93";"0.75";"0.00";"0.59";"1.00";"1.00";"maritaca"
"grafo";"O hotel pode fotografar minha identidade e guardar?";"O Art. 58 da LGPD permite retenção para ""cumprimento de obrigação legal"". O Estatuto do Desarmamento e Lei de Migração exigem identificação, mas não explicitamente guarda por 5 anos.";"{'resposta': 'Sim, o hotel pode fotografar e armazenar sua identidade para cadastro, segurança ou controle de acesso, pois é controlador de dados e pode tratar dados pessoais para finalidades legítimas, como prevenção à fraude e cumprimento de obrigações legais, desde que observe os princípios da finalidade, necessidade e segurança previstos na LGPD. O tratamento deve ser informado ao hóspede e os dados devem ser protegidos e eliminados após o término da relação, salvo obrigação legal de conservação.', 'chunks': ['e9106279', '9c7da499', 'b47f4387'], 'trecho_chave': 'tratamento para propósitos legítimos, específicos, explícitos e informados ao titular', 'percentual': ['40', '40', '20']}";"0.82";"0.94";"0.54";"0.50";"1.00";"1.00";"maritaca"
"grafo";"Posso exigir que uma empresa apague meu histórico de compras?";"O Art. 18 permite. Mas a empresa pode argumentar ""obrigação fiscal"" (guardar por 5 anos). A ambiguidade: pode manter CPF, valor, data, mas apagar ""itens específicos""? É ""anonimização parcial""?";"{'resposta': 'Sim, você pode exigir a eliminação do seu histórico de compras da base de dados da empresa, pois a LGPD assegura ao titular o direito de solicitar a eliminação dos dados pessoais tratados com seu consentimento, mediante requisição formal. Contudo, a empresa pode reter os dados em hipóteses legais específicas, como cumprimento de obrigação legal ou regulatória, conforme o art. 18, VI, da LGPD. O pedido deve ser atendido sem custo e no prazo legal, salvo exceções previstas no art. 16 da mesma lei.', 'chunks': ['f9e4ad69', '5cf8dbf1'], 'trecho_chave': 'eliminação dos dados pessoais tratados com o consentimento do titular, exceto nas hipóteses previstas no art. 16 desta Lei', 'percentual': ['70', '30']}";"0.79";"0.81";"0.54";"0.70";"1.00";"1.00";"maritaca"
